target,length,freq
apple,5,-7.9869530152974
avocado,7,-10.7191390600615
banana,6,-8.93476462329849
black,5,-5.1594843429207
black_avocado,13,-18.5698909725725
black_pepper,12,-10.2668659377321
blue,4,-6.07975521523298
blue_apple,10,-17.3126120727572
blue_banana,11,-17.1554792079572
brown,5,-6.5956916544272
brown_banana,12,-17.2976406667001
brown_carrot,12,-21.5066614449512
carrot,6,-9.55124702668319
green,5,-6.09495803947612
green_apple,11,-13.6229555977205
green_avocado,13,-17.098950439952
green_pear,10,-16.198511076054
green_pepper,12,-11.0480701819373
green_tomato,12,-14.3747241394522
orange,6,-7.5455945776077
orange_carrot,13,-16.2765338219068
orange_pear,11,-17.4558296748848
orange_pepper,13,-17.7854831482275
pear,4,-9.42674460579827
pepper,6,-8.0352633245533
purple,6,-7.96175911259949
purple_carrot,13,-18.6779556444548
purple_tomato,13,-19.2040763519572
red,3,-5.62828249299053
red_apple,9,-13.0723497477497
red_avocado,11,-21.5066614449512
red_pepper,10,-11.1299797134292
red_tomato,10,-14.5156402195355
tomato,6,-8.70040765004644
yellow,6,-6.58250249044842
yellow_banana,13,-15.7151308567903
yellow_pear,11,-15.9201627889565
