gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified	alt1Name	alt1SpLocs	alt1LisLocs	alt2Name	alt2SpLocs	alt2LisLocs	alt3Name	alt3SpLocs	alt3LisLocs	alt4Name	alt4SpLocs	alt4LisLocs
2298-c	1	small_brown_belt	color	minimal	color	size redundant	4	2	0.5	Brown belt		Brown belt	1	0	belt	small	brown	TRUE	FALSE	TRUE	FALSE	FALSE	0.870588235294118	0.909130434782609	black	-0.038542199488491	0.489171828071335	0.81625	0.782142857142857	0.877894736842105	0.928181818181818	-0.0616447368421049	0.481806531785173	-0.146038961038961	0.457306655529823	small_black_belt	3	4	big_black_belt	4	5	big_black_belt	2	2	small_black_belt	1	1
2298-c	3	big_red_flower	color	minimal	color	size redundant	3	1	0.666666666666667	Red flower		Red flower	1	0	flower	big	red	TRUE	FALSE	TRUE	FALSE	FALSE	0.839230769230769	0.813703703703704	purple	0.025527065527065	0.507721741528491	0.832857142857143	0.828333333333333	0.788947368421053	0.750714285714286	0.04390977443609	0.513537320352341	0.077619047619047	0.524577804583836	small_purple_flower	4	1	big_purple_flower	1	2	small_purple_flower	2	3	undefined	undefined	undefined
2298-c	4	small_red_yarn	size and color	redundant	size	color redundant	3	2	0.333333333333333	Red yarn left to the purple yarn___Or smallest red yarn	different order here	Red yarn left to the purple yarn	0	1	yarn	small	red	TRUE	TRUE	TRUE	FALSE	TRUE	0.744444444444444	0.599090909090909	purple	0.145353535353535	0.55409367716713	0.906	0.85	0.86	0.747	0.046	0.513023782559456	0.103	0.532247964934252	big_red_yarn	1	4	big_red_yarn	4	2	big_purple_yarn	3	1	undefined	undefined	undefined
2298-c	5	small_black_turtle	color	minimal	color	size redundant	2	1	0.5	Black turtle		Black turtle	1	0	turtle	small	black	TRUE	FALSE	TRUE	FALSE	FALSE	0.110526315789474	0.866666666666667	brown	-0.756140350877193	0.113105924596051	0.664117647058823	0.539	0.826363636363636	0.807272727272727	-0.162245989304813	0.445572617680827	-0.268272727272727	0.400364643122426	small_brown_turtle	4	3	big_brown_turtle	3	4	undefined	undefined	undefined	undefined	undefined	undefined
2298-c	6	small_blue_butterfly	size	minimal	size	color redundant	2	2	0	Smallest butterfly		Smallest butterfly	1	0	butterfly	small	blue	FALSE	TRUE	TRUE	FALSE	FALSE	0.646842105263158	0.39047619047619	purple	0.256365914786968	0.62357148034502	0.752857142857143	0.628333333333333	0.690555555555556	0.717	0.062301587301587	0.521581349315445	-0.088666666666667	0.467046580773042	big_blue_butterfly	3	4	big_blue_butterfly	2	3	undefined	undefined	undefined	undefined	undefined	undefined
2298-c	7	big_blue_tack	color	minimal	color	size redundant	3	2	0.333333333333333	Blue		Blue	1	0	tack	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.705625	0.781666666666667	red	-0.076041666666667	0.474436195545595	0.794	0.875714285714286	0.88	0.835	-0.086	0.474313022700119	0.040714285714286	0.511899791231733	small_red_tack	1	3	big_red_tack	3	4	big_red_tack	2	2	undefined	undefined	undefined
2298-c	8	big_purple_billiardball	size and color	redundant	size	color redundant	4	2	0.5	Biggest purple		Biggest purple	0	1	billiardball	big	purple	TRUE	TRUE	FALSE	FALSE	FALSE	0.645294117647059	0.827826086956522	orange	-0.182531969309463	0.43804579940624	0.860588235294118	0.641111111111111	0.8408	0.798888888888889	0.019788235294118	0.505815320361228	-0.157777777777778	0.445216049382716	small_purple_billiardball	2	2	small_purple_billiardball	4	3	small_orange_billiardball	1	1	small_orange_billiardball	3	4
2298-c	10	big_green_jacket	size	minimal	size	color redundant	3	3	0	Biggest		Biggest	1	0	jacket	big	green	FALSE	TRUE	FALSE	FALSE	FALSE	0.48625	0.703125	brown	-0.216875	0.4088281660536	0.663181818181818	0.64	0.667142857142857	0.571	-0.00396103896103905	0.498511251037243	0.0690000000000001	0.528488852188274	small_green_jacket	2	2	small_green_jacket	4	4	small_green_jacket	1	3	undefined	undefined	undefined
2298-c	11	small_purple_coathanger	size	minimal	size	color redundant	4	4	0	Smallest		Smallest	1	0	coathanger	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.191363636363636	0.187777777777778	orange	0.00358585858585803	0.504728919674969	0.574166666666667	0.407	0.479473684210526	0.3	0.0946929824561411	0.544936102901386	0.107	0.575671852899576	big_purple_coathanger	2	3	big_purple_coathanger	3	4	big_purple_coathanger	5	5	big_purple_coathanger	1	2
2298-c	12	big_red_candle	size	minimal	size	color redundant	2	2	0	Biggest		Biggest	1	0	candle	big	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.731818181818182	0.494444444444444	blue	0.237373737373738	0.59678747940692	0.8232	0.853333333333333	0.760555555555556	0.608	0.0626444444444441	0.519777182225091	0.245333333333333	0.583941605839416	small_red_candle	3	2	small_red_candle	2	3	undefined	undefined	undefined	undefined	undefined	undefined
