gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
2662-0,1455300938686,1,colorSizeTrial,color21,small_brown_jacket,target,4,4,NA,NA,big_green_jacket,distractor,3,2,NA,NA,small_green_jacket,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455300957947,2,subSuperTrial,basic23,swordFish,target,3,3,fish,animal,lobster,distractor,4,2,NA,animal,train,distractor,2,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455300980644,3,subSuperTrial,basic23,suv,target,3,2,car,vehicle,pretzels,distractor,2,3,NA,snack,motorcycle,distractor,4,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455300995108,4,colorSizeTrial,color43,big_pink_balloon,target,4,4,NA,NA,big_yellow_balloon,distractor,1,5,NA,NA,big_yellow_balloon,distractor,3,3,NA,NA,small_yellow_balloon,distractor,5,1,NA,NA,big_yellow_balloon,distractor,2,2,NA,NA
2662-0,1455301005987,5,colorSizeTrial,size21,small_white_phone,target,3,3,NA,NA,big_white_phone,distractor,4,4,NA,NA,big_pink_phone,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301015086,6,colorSizeTrial,color44,big_blue_guitar,target,1,4,NA,NA,big_green_guitar,distractor,5,5,NA,NA,big_green_guitar,distractor,4,2,NA,NA,big_green_guitar,distractor,2,1,NA,NA,big_green_guitar,distractor,3,3,NA,NA
2662-0,1455301025075,7,colorSizeTrial,size44,small_red_toothbrush,target,2,2,NA,NA,big_red_toothbrush,distractor,4,1,NA,NA,big_red_toothbrush,distractor,1,4,NA,NA,big_red_toothbrush,distractor,3,3,NA,NA,big_red_toothbrush,distractor,5,5,NA,NA
2662-0,1455301033366,8,colorSizeTrial,color41,small_green_bracelet,target,2,2,NA,NA,big_purple_bracelet,distractor,3,3,NA,NA,big_purple_bracelet,distractor,4,4,NA,NA,small_purple_bracelet,distractor,1,1,NA,NA,big_purple_bracelet,distractor,5,5,NA,NA
2662-0,1455301048606,9,colorSizeTrial,color22,small_brown_turtle,target,2,2,NA,NA,small_black_turtle,distractor,4,3,NA,NA,small_black_turtle,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301058081,10,subSuperTrial,basic33,sunflower,target,2,2,flower,plant,wardrobe,distractor,3,3,NA,furniture,rabbit,distractor,4,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301065718,11,colorSizeTrial,size32,big_pink_teacup,target,1,2,NA,NA,small_pink_teacup,distractor,3,4,NA,NA,small_white_teacup,distractor,4,3,NA,NA,small_pink_teacup,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301073182,12,subSuperTrial,basic22,pigeon,target,2,4,bird,animal,rhino,distractor,3,2,NA,animal,snake,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301083144,13,subSuperTrial,basic12,hummingBird,target,2,2,bird,animal,sparrow,distractor,4,4,bird,animal,squirrel,distractor,3,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301090916,14,colorSizeTrial,color21,big_blue_book,target,4,2,NA,NA,big_black_book,distractor,3,3,NA,NA,small_black_book,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301098434,15,subSuperTrial,basic12,rose,target,4,2,flower,plant,lily,distractor,2,3,flower,plant,rosemary,distractor,3,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301106967,16,colorSizeTrial,size43,big_green_chair,target,5,5,NA,NA,small_red_chair,distractor,1,3,NA,NA,small_green_chair,distractor,2,2,NA,NA,small_green_chair,distractor,3,1,NA,NA,small_green_chair,distractor,4,4,NA,NA
2662-0,1455301114096,17,colorSizeTrial,size33,small_purple_coathanger,target,2,1,NA,NA,big_purple_coathanger,distractor,4,3,NA,NA,big_purple_coathanger,distractor,1,4,NA,NA,big_purple_coathanger,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301130189,18,subSuperTrial,basic22,husky,target,4,2,dog,animal,rabbit,distractor,2,4,NA,animal,sheep,distractor,3,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2662-0,1455301137775,19,colorSizeTrial,size44,small_pink_weddingcake,target,2,5,NA,NA,big_pink_weddingcake,distractor,4,2,NA,NA,big_pink_weddingcake,distractor,1,3,NA,NA,big_pink_weddingcake,distractor,5,1,NA,NA,big_pink_weddingcake,distractor,3,4,NA,NA
