gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
1997-d,1455300963432,1,colorSizeTrial,color41,small_purple_hairdryer,target,1,5,NA,NA,big_pink_hairdryer,distractor,2,3,NA,NA,big_pink_hairdryer,distractor,4,4,NA,NA,big_pink_hairdryer,distractor,5,2,NA,NA,small_pink_hairdryer,distractor,3,1,NA,NA
1997-d,1455300975465,2,colorSizeTrial,size33,big_blue_comb,target,3,4,NA,NA,small_blue_comb,distractor,2,1,NA,NA,small_blue_comb,distractor,4,2,NA,NA,small_blue_comb,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455300985951,3,subSuperTrial,basic22,hawaiiShirt,target,2,2,shirt,clothing,dress,distractor,4,4,NA,clothing,socks,distractor,3,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455300994230,4,subSuperTrial,basic23,skittles,target,4,4,candy,snack,chips,distractor,3,2,NA,snack,lobster,distractor,2,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301003188,5,colorSizeTrial,size31,big_pink_phone,target,1,1,NA,NA,small_pink_phone,distractor,3,3,NA,NA,small_white_phone,distractor,2,4,NA,NA,small_white_phone,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301012245,6,colorSizeTrial,size44,big_purple_ornament,target,2,2,NA,NA,small_purple_ornament,distractor,1,3,NA,NA,small_purple_ornament,distractor,4,5,NA,NA,small_purple_ornament,distractor,5,4,NA,NA,small_purple_ornament,distractor,3,1,NA,NA
1997-d,1455301020045,7,colorSizeTrial,size31,big_green_framee,target,2,2,NA,NA,small_pink_framee,distractor,4,4,NA,NA,small_green_framee,distractor,1,3,NA,NA,small_pink_framee,distractor,3,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301029248,8,subSuperTrial,basic12,catfish,target,2,3,fish,animal,discusFish,distractor,3,2,fish,animal,sheep,distractor,4,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301034882,9,subSuperTrial,basic33,poloShirt,target,2,3,shirt,clothing,motorcycle,distractor,3,2,NA,vehicle,grasses,distractor,4,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301041243,10,colorSizeTrial,color44,big_white_shoe,target,3,3,NA,NA,big_yellow_shoe,distractor,4,4,NA,NA,big_yellow_shoe,distractor,1,1,NA,NA,big_yellow_shoe,distractor,5,2,NA,NA,big_yellow_shoe,distractor,2,5,NA,NA
1997-d,1455301051099,11,subSuperTrial,basic23,tulip,target,3,3,flower,plant,popcorn,distractor,4,4,NA,snack,pottedPlant,distractor,2,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301060116,12,subSuperTrial,basic12,dressShirt,target,3,4,shirt,clothing,bathrobe,distractor,2,3,NA,clothing,campShirt,distractor,4,2,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301066551,13,subSuperTrial,basic23,dalmatian,target,4,4,dog,animal,popcorn,distractor,2,3,NA,snack,elephant,distractor,3,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301073158,14,subSuperTrial,basic23,sportsCar,target,4,4,car,vehicle,pretzels,distractor,3,3,NA,snack,train,distractor,2,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1997-d,1455301080281,15,colorSizeTrial,size42,small_white_weddingcake,target,5,4,NA,NA,big_pink_weddingcake,distractor,4,5,NA,NA,big_white_weddingcake,distractor,3,3,NA,NA,big_white_weddingcake,distractor,1,1,NA,NA,big_pink_weddingcake,distractor,2,2,NA,NA
1997-d,1455301089534,16,colorSizeTrial,size43,small_pink_golfball,target,5,2,NA,NA,big_pink_golfball,distractor,4,1,NA,NA,big_pink_golfball,distractor,2,3,NA,NA,big_blue_golfball,distractor,1,5,NA,NA,big_pink_golfball,distractor,3,4,NA,NA
