gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8691-5,1455300973284,1,colorSizeTrial,color43,big_blue_guitar,target,4,4,NA,NA,big_green_guitar,distractor,2,1,NA,NA,small_green_guitar,distractor,5,2,NA,NA,big_green_guitar,distractor,1,3,NA,NA,big_green_guitar,distractor,3,5,NA,NA
8691-5,1455300979944,2,colorSizeTrial,size41,big_blue_cap,target,4,4,NA,NA,small_orange_cap,distractor,1,2,NA,NA,small_orange_cap,distractor,2,5,NA,NA,small_orange_cap,distractor,5,1,NA,NA,small_blue_cap,distractor,3,3,NA,NA
8691-5,1455300986294,3,subSuperTrial,basic33,coffeeTable,target,2,3,table,furniture,popcorn,distractor,3,4,NA,snack,cow,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455300991144,4,subSuperTrial,basic23,rose,target,4,3,flower,plant,pretzels,distractor,2,4,NA,snack,grasses,distractor,3,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455300995944,5,subSuperTrial,basic33,convertible,target,4,4,car,vehicle,pig,distractor,2,2,NA,animal,bed,distractor,3,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455301001034,6,colorSizeTrial,color32,big_blue_comb,target,2,4,NA,NA,big_black_comb,distractor,1,1,NA,NA,big_black_comb,distractor,3,3,NA,NA,small_black_comb,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455301008774,7,colorSizeTrial,size33,big_red_bike,target,3,4,NA,NA,small_red_bike,distractor,4,1,NA,NA,small_red_bike,distractor,2,2,NA,NA,small_red_bike,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455301015717,8,subSuperTrial,basic22,gummyBears,target,3,2,candy,snack,chips,distractor,4,4,NA,snack,pretzels,distractor,2,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455301024367,9,subSuperTrial,basic12,sunflower,target,2,4,flower,plant,grasses,distractor,4,3,NA,plant,lily,distractor,3,2,flower,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-5,1455301029826,10,colorSizeTrial,color43,small_white_shoe,target,5,2,NA,NA,small_yellow_shoe,distractor,4,3,NA,NA,big_yellow_shoe,distractor,1,4,NA,NA,small_yellow_shoe,distractor,3,1,NA,NA,small_yellow_shoe,distractor,2,5,NA,NA
