gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
3791-8,1455301002088,1,subSuperTrial,basic33,parrot,target,4,3,bird,animal,popcorn,distractor,2,2,NA,snack,lamp,distractor,3,4,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301017575,2,subSuperTrial,basic12,tShirt,target,4,3,shirt,clothing,gloves,distractor,2,2,NA,clothing,campShirt,distractor,3,4,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301027129,3,subSuperTrial,basic12,swordFish,target,4,4,fish,animal,rabbit,distractor,2,2,NA,animal,discusFish,distractor,3,3,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301036139,4,colorSizeTrial,color44,big_red_bucket,target,2,3,NA,NA,big_pink_bucket,distractor,5,4,NA,NA,big_pink_bucket,distractor,3,5,NA,NA,big_pink_bucket,distractor,1,1,NA,NA,big_pink_bucket,distractor,4,2,NA,NA
3791-8,1455301061091,5,colorSizeTrial,size22,small_red_flower,distractor,4,4,NA,NA,small_red_flower,distractor,2,3,NA,NA,big_red_flower,target,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301070589,6,subSuperTrial,basic12,eagle,target,3,2,bird,animal,squirrel,distractor,2,3,NA,animal,sparrow,distractor,4,4,bird,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301088281,7,colorSizeTrial,size21,small_red_yarn,target,4,3,NA,NA,big_purple_yarn,distractor,3,4,NA,NA,big_red_yarn,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301104369,8,colorSizeTrial,size42,big_blue_toothbrush,target,1,3,NA,NA,small_red_toothbrush,distractor,4,1,NA,NA,small_blue_toothbrush,distractor,3,2,NA,NA,small_red_toothbrush,distractor,2,4,NA,NA,small_blue_toothbrush,distractor,5,5,NA,NA
3791-8,1455301124270,9,colorSizeTrial,color43,big_black_belt,target,4,5,NA,NA,big_brown_belt,distractor,1,4,NA,NA,small_brown_belt,distractor,5,3,NA,NA,big_brown_belt,distractor,2,2,NA,NA,big_brown_belt,distractor,3,1,NA,NA
3791-8,1455301136840,10,subSuperTrial,basic22,bedsideTable,target,4,2,table,furniture,lamp,distractor,3,4,NA,furniture,wardrobe,distractor,2,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301148769,11,colorSizeTrial,color33,small_purple_billiardball,target,3,1,NA,NA,small_orange_billiardball,distractor,4,2,NA,NA,small_orange_billiardball,distractor,2,3,NA,NA,small_orange_billiardball,distractor,1,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301163842,12,subSuperTrial,basic23,picnicTable,target,3,3,table,furniture,rosemary,distractor,4,4,NA,plant,bookcase,distractor,2,2,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
3791-8,1455301177487,13,colorSizeTrial,size43,small_red_stapler,target,1,1,NA,NA,big_red_stapler,distractor,3,2,NA,NA,big_purple_stapler,distractor,5,5,NA,NA,big_red_stapler,distractor,4,4,NA,NA,big_red_stapler,distractor,2,3,NA,NA
3791-8,1455301192393,14,colorSizeTrial,color31,small_blue_cushion,target,3,4,NA,NA,small_orange_cushion,distractor,4,2,NA,NA,big_orange_cushion,distractor,1,3,NA,NA,big_orange_cushion,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
