gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
9973-0,1455301040152,1,colorSizeTrial,color43,small_blue_binder,target,2,5,NA,NA,small_green_binder,distractor,4,4,NA,NA,small_green_binder,distractor,1,1,NA,NA,big_green_binder,distractor,5,2,NA,NA,small_green_binder,distractor,3,3,NA,NA
9973-0,1455301048800,2,colorSizeTrial,size41,small_blue_comb,target,4,3,NA,NA,big_black_comb,distractor,3,1,NA,NA,big_black_comb,distractor,2,4,NA,NA,big_blue_comb,distractor,1,2,NA,NA,big_black_comb,distractor,5,5,NA,NA
9973-0,1455301055446,3,subSuperTrial,basic23,rose,target,4,3,flower,plant,horse,distractor,2,4,NA,animal,grasses,distractor,3,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9973-0,1455301061055,4,subSuperTrial,basic22,diningTable,target,3,2,table,furniture,bed,distractor,2,3,NA,furniture,wardrobe,distractor,4,4,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9973-0,1455301070165,5,colorSizeTrial,size43,big_pink_balloon,target,3,2,NA,NA,small_pink_balloon,distractor,4,5,NA,NA,small_pink_balloon,distractor,1,4,NA,NA,small_yellow_balloon,distractor,5,3,NA,NA,small_pink_balloon,distractor,2,1,NA,NA
9973-0,1455301076174,6,subSuperTrial,basic23,suv,target,2,4,car,vehicle,firetruck,distractor,3,3,NA,vehicle,gloves,distractor,4,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9973-0,1455301082429,7,colorSizeTrial,color22,big_purple_stapler,target,3,3,NA,NA,big_red_stapler,distractor,4,2,NA,NA,big_red_stapler,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9973-0,1455301088894,8,colorSizeTrial,color42,small_black_avocado,target,3,1,NA,NA,big_green_avocado,distractor,1,5,NA,NA,small_green_avocado,distractor,4,4,NA,NA,big_green_avocado,distractor,2,3,NA,NA,small_green_avocado,distractor,5,2,NA,NA
9973-0,1455301095872,9,colorSizeTrial,color43,big_purple_butterfly,target,5,5,NA,NA,big_blue_butterfly,distractor,2,2,NA,NA,big_blue_butterfly,distractor,4,3,NA,NA,big_blue_butterfly,distractor,3,1,NA,NA,small_blue_butterfly,distractor,1,4,NA,NA
9973-0,1455301101598,10,colorSizeTrial,size33,big_white_shoe,target,3,1,NA,NA,small_white_shoe,distractor,1,4,NA,NA,small_white_shoe,distractor,2,3,NA,NA,small_white_shoe,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
