gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
4855-c,1455301108573,1,subSuperTrial,basic23,pigeon,target,4,2,bird,animal,hamster,distractor,3,4,NA,animal,train,distractor,2,3,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301113712,2,subSuperTrial,basic12,pandaBear,target,3,3,bear,animal,iguana,distractor,4,2,NA,animal,koalaBear,distractor,2,4,bear,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301122503,3,colorSizeTrial,size43,small_black_book,target,1,2,NA,NA,big_black_book,distractor,2,1,NA,NA,big_black_book,distractor,5,3,NA,NA,big_black_book,distractor,3,5,NA,NA,big_blue_book,distractor,4,4,NA,NA
4855-c,1455301133565,4,subSuperTrial,basic12,poloShirt,target,3,2,shirt,clothing,socks,distractor,2,3,NA,clothing,campShirt,distractor,4,4,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301138710,5,subSuperTrial,basic12,eagle,target,4,2,bird,animal,bison,distractor,3,3,NA,animal,sparrow,distractor,2,4,bird,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301146205,6,colorSizeTrial,color22,small_red_candle,target,2,2,NA,NA,small_blue_candle,distractor,4,3,NA,NA,small_blue_candle,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301152525,7,colorSizeTrial,size22,big_orange_billiardball,target,2,3,NA,NA,small_orange_billiardball,distractor,3,4,NA,NA,small_orange_billiardball,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301159716,8,subSuperTrial,basic23,sportsCar,target,2,2,car,vehicle,bookcase,distractor,4,4,NA,furniture,firetruck,distractor,3,3,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301166272,9,subSuperTrial,basic12,tulip,target,3,2,flower,plant,pottedPlant,distractor,4,4,NA,plant,lily,distractor,2,3,flower,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301171468,10,subSuperTrial,basic22,germanShepherd,target,4,3,dog,animal,hamster,distractor,3,4,NA,animal,crocodile,distractor,2,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301178967,11,colorSizeTrial,size21,big_purple_rug,target,2,4,NA,NA,small_blue_rug,distractor,3,3,NA,NA,small_purple_rug,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301185367,12,colorSizeTrial,color22,big_brown_jacket,target,2,3,NA,NA,big_green_jacket,distractor,4,2,NA,NA,big_green_jacket,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301191859,13,colorSizeTrial,color44,small_purple_yarn,target,5,3,NA,NA,small_red_yarn,distractor,2,4,NA,NA,small_red_yarn,distractor,3,5,NA,NA,small_red_yarn,distractor,1,2,NA,NA,small_red_yarn,distractor,4,1,NA,NA
4855-c,1455301200448,14,subSuperTrial,basic23,convertible,target,2,4,car,vehicle,ambulance,distractor,3,3,NA,vehicle,cow,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301206720,15,colorSizeTrial,color33,big_green_guitar,target,2,1,NA,NA,big_blue_guitar,distractor,3,3,NA,NA,big_blue_guitar,distractor,1,2,NA,NA,big_blue_guitar,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301216863,16,colorSizeTrial,size41,small_purple_coathanger,target,1,4,NA,NA,big_purple_coathanger,distractor,4,1,NA,NA,big_orange_coathanger,distractor,3,3,NA,NA,big_orange_coathanger,distractor,5,5,NA,NA,big_orange_coathanger,distractor,2,2,NA,NA
4855-c,1455301224787,17,colorSizeTrial,size41,big_black_belt,target,5,3,NA,NA,small_brown_belt,distractor,4,4,NA,NA,small_black_belt,distractor,3,5,NA,NA,small_brown_belt,distractor,1,1,NA,NA,small_brown_belt,distractor,2,2,NA,NA
4855-c,1455301232593,18,colorSizeTrial,color32,big_black_turtle,target,1,1,NA,NA,big_brown_turtle,distractor,3,2,NA,NA,big_brown_turtle,distractor,2,4,NA,NA,small_brown_turtle,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301239360,19,colorSizeTrial,color42,small_blue_golfball,target,5,3,NA,NA,small_pink_golfball,distractor,3,4,NA,NA,big_pink_golfball,distractor,2,2,NA,NA,small_pink_golfball,distractor,1,5,NA,NA,big_pink_golfball,distractor,4,1,NA,NA
