gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
4205-4,1455301483910,1,colorSizeTrial,color32,big_red_bucket,target,4,2,NA,NA,big_pink_bucket,distractor,1,3,NA,NA,big_pink_bucket,distractor,2,1,NA,NA,small_pink_bucket,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301491344,2,colorSizeTrial,size42,big_yellow_balloon,target,4,3,NA,NA,small_pink_balloon,distractor,2,4,NA,NA,small_yellow_balloon,distractor,5,1,NA,NA,small_yellow_balloon,distractor,1,5,NA,NA,small_pink_balloon,distractor,3,2,NA,NA
4205-4,1455301497528,3,colorSizeTrial,color31,big_purple_rock,target,1,4,NA,NA,big_green_rock,distractor,4,3,NA,NA,small_green_rock,distractor,3,2,NA,NA,small_green_rock,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301502319,4,colorSizeTrial,color31,big_red_pepper,target,1,1,NA,NA,small_green_pepper,distractor,4,2,NA,NA,small_green_pepper,distractor,3,4,NA,NA,big_green_pepper,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301511981,5,subSuperTrial,basic22,mnMs,target,4,2,candy,snack,chips,distractor,3,3,NA,snack,cookies,distractor,2,4,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301518109,6,colorSizeTrial,size41,big_purple_bike,target,3,2,NA,NA,small_purple_bike,distractor,5,5,NA,NA,small_red_bike,distractor,2,3,NA,NA,small_red_bike,distractor,4,4,NA,NA,small_red_bike,distractor,1,1,NA,NA
4205-4,1455301525110,7,subSuperTrial,basic33,goldFish,target,4,4,fish,animal,cookies,distractor,3,2,NA,snack,wardrobe,distractor,2,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301532215,8,colorSizeTrial,size32,big_white_shoe,target,4,2,NA,NA,small_yellow_shoe,distractor,2,3,NA,NA,small_white_shoe,distractor,1,1,NA,NA,small_white_shoe,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4205-4,1455301537144,9,colorSizeTrial,color44,small_orange_billiardball,target,4,4,NA,NA,small_purple_billiardball,distractor,2,1,NA,NA,small_purple_billiardball,distractor,5,2,NA,NA,small_purple_billiardball,distractor,1,5,NA,NA,small_purple_billiardball,distractor,3,3,NA,NA
4205-4,1455301543369,10,colorSizeTrial,color42,big_purple_yarn,target,3,4,NA,NA,big_red_yarn,distractor,5,5,NA,NA,small_red_yarn,distractor,1,2,NA,NA,big_red_yarn,distractor,2,1,NA,NA,small_red_yarn,distractor,4,3,NA,NA
4205-4,1455301549894,11,subSuperTrial,basic23,poloShirt,target,2,3,shirt,clothing,hamster,distractor,3,4,NA,animal,bathrobe,distractor,4,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
