gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
1448-1,1455302621763,1,colorSizeTrial,size44,small_orange_coathanger,target,2,3,NA,NA,big_orange_coathanger,distractor,4,1,NA,NA,big_orange_coathanger,distractor,1,4,NA,NA,big_orange_coathanger,distractor,5,2,NA,NA,big_orange_coathanger,distractor,3,5,NA,NA
1448-1,1455302630998,2,subSuperTrial,basic22,convertible,target,2,3,car,vehicle,firetruck,distractor,4,2,NA,vehicle,motorcycle,distractor,3,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302638685,3,subSuperTrial,basic23,tShirt,target,4,2,shirt,clothing,bathrobe,distractor,2,4,NA,clothing,motorcycle,distractor,3,3,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302645084,4,subSuperTrial,basic12,skittles,target,4,2,candy,snack,candyCorn,distractor,3,4,candy,snack,cookies,distractor,2,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302654099,5,subSuperTrial,basic22,suv,target,3,3,car,vehicle,ambulance,distractor,2,4,NA,vehicle,train,distractor,4,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302661741,6,colorSizeTrial,color44,big_purple_flower,target,3,3,NA,NA,big_red_flower,distractor,2,4,NA,NA,big_red_flower,distractor,5,1,NA,NA,big_red_flower,distractor,1,5,NA,NA,big_red_flower,distractor,4,2,NA,NA
1448-1,1455302669413,7,subSuperTrial,basic12,husky,target,3,3,dog,animal,cow,distractor,2,4,NA,animal,greyhound,distractor,4,2,dog,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302680413,8,colorSizeTrial,size31,big_pink_framee,target,1,2,NA,NA,small_green_framee,distractor,4,3,NA,NA,small_green_framee,distractor,2,4,NA,NA,small_pink_framee,distractor,3,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302686422,9,subSuperTrial,basic23,pigeon,target,2,4,bird,animal,horse,distractor,4,2,NA,animal,dress,distractor,3,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302693581,10,colorSizeTrial,size21,big_pink_weddingcake,target,3,4,NA,NA,small_pink_weddingcake,distractor,4,2,NA,NA,small_white_weddingcake,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302702661,11,colorSizeTrial,color21,small_purple_rug,target,2,3,NA,NA,big_blue_rug,distractor,4,4,NA,NA,small_blue_rug,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302709750,12,subSuperTrial,basic33,coffeeTable,target,3,2,table,furniture,motorcycle,distractor,2,3,NA,vehicle,horse,distractor,4,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302716068,13,subSuperTrial,basic33,gummyBears,target,2,2,candy,snack,lion,distractor,3,3,NA,animal,grasses,distractor,4,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302722198,14,subSuperTrial,basic12,jellyBeans,target,3,3,candy,snack,candyCorn,distractor,2,2,candy,snack,popcorn,distractor,4,4,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302728213,15,subSuperTrial,basic23,bedsideTable,target,3,4,table,furniture,wardrobe,distractor,2,3,NA,furniture,horse,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302736380,16,colorSizeTrial,color42,big_purple_ornament,target,4,4,NA,NA,small_blue_ornament,distractor,3,5,NA,NA,big_blue_ornament,distractor,1,3,NA,NA,big_blue_ornament,distractor,2,1,NA,NA,small_blue_ornament,distractor,5,2,NA,NA
1448-1,1455302741782,17,subSuperTrial,basic12,blackBear,target,3,2,bear,animal,koalaBear,distractor,2,4,bear,animal,lion,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302746901,18,subSuperTrial,basic22,eagle,target,4,3,bird,animal,snake,distractor,3,2,NA,animal,kitten,distractor,2,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302757290,19,colorSizeTrial,size32,small_red_bucket,target,3,2,NA,NA,big_red_bucket,distractor,4,4,NA,NA,big_red_bucket,distractor,2,3,NA,NA,big_pink_bucket,distractor,1,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302766532,20,colorSizeTrial,color33,small_brown_turtle,target,1,4,NA,NA,small_black_turtle,distractor,3,2,NA,NA,small_black_turtle,distractor,4,3,NA,NA,small_black_turtle,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302773171,21,colorSizeTrial,color43,big_blue_golfball,target,5,4,NA,NA,small_pink_golfball,distractor,4,1,NA,NA,big_pink_golfball,distractor,3,5,NA,NA,big_pink_golfball,distractor,2,2,NA,NA,big_pink_golfball,distractor,1,3,NA,NA
1448-1,1455302781722,22,subSuperTrial,basic33,minivan,target,3,2,car,vehicle,pig,distractor,2,4,NA,animal,gloves,distractor,4,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302791883,23,colorSizeTrial,size32,big_black_avocado,target,3,4,NA,NA,small_black_avocado,distractor,2,3,NA,NA,small_green_avocado,distractor,4,1,NA,NA,small_black_avocado,distractor,1,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302800307,24,colorSizeTrial,color31,small_purple_rock,target,1,1,NA,NA,big_green_rock,distractor,3,2,NA,NA,big_green_rock,distractor,2,4,NA,NA,small_green_rock,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302809514,25,subSuperTrial,basic12,dalmatian,target,4,3,dog,animal,greyhound,distractor,2,2,dog,animal,squirrel,distractor,3,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302816019,26,subSuperTrial,basic23,mnMs,target,2,4,candy,snack,cookies,distractor,4,3,NA,snack,squirrel,distractor,3,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1448-1,1455302825131,27,subSuperTrial,basic12,poloShirt,target,2,2,shirt,clothing,socks,distractor,4,4,NA,clothing,campShirt,distractor,3,3,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
