gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
7734-1,1455302970827,1,subSuperTrial,basic12,dressShirt,target,2,4,shirt,clothing,dress,distractor,4,3,NA,clothing,campShirt,distractor,3,2,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455302991724,2,colorSizeTrial,size41,small_purple_bike,target,2,2,NA,NA,big_red_bike,distractor,5,3,NA,NA,big_purple_bike,distractor,1,5,NA,NA,big_red_bike,distractor,3,4,NA,NA,big_red_bike,distractor,4,1,NA,NA
7734-1,1455303052677,3,colorSizeTrial,size32,big_white_phone,target,3,4,NA,NA,small_white_phone,distractor,2,3,NA,NA,small_white_phone,distractor,1,1,NA,NA,small_pink_phone,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303069932,4,subSuperTrial,basic22,picnicTable,target,2,2,table,furniture,wardrobe,distractor,4,3,NA,furniture,lamp,distractor,3,4,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303084227,5,colorSizeTrial,size44,small_orange_cushion,target,3,5,NA,NA,big_orange_cushion,distractor,2,4,NA,NA,big_orange_cushion,distractor,1,3,NA,NA,big_orange_cushion,distractor,5,1,NA,NA,big_orange_cushion,distractor,4,2,NA,NA
7734-1,1455303135148,6,colorSizeTrial,color32,small_brown_turtle,target,2,1,NA,NA,small_black_turtle,distractor,1,4,NA,NA,small_black_turtle,distractor,4,2,NA,NA,big_black_turtle,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303163053,7,subSuperTrial,basic33,tulip,target,2,4,flower,plant,lion,distractor,3,3,NA,animal,motorcycle,distractor,4,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303180993,8,subSuperTrial,basic22,polarBear,target,2,2,bear,animal,rhino,distractor,3,4,NA,animal,cow,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303198380,9,subSuperTrial,basic22,grizzlyBear,target,3,4,bear,animal,cow,distractor,2,2,NA,animal,bison,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303215649,10,colorSizeTrial,size43,small_green_framee,target,3,3,NA,NA,big_pink_framee,distractor,2,4,NA,NA,big_green_framee,distractor,1,1,NA,NA,big_green_framee,distractor,5,2,NA,NA,big_green_framee,distractor,4,5,NA,NA
7734-1,1455303229010,11,subSuperTrial,basic33,suv,target,2,2,car,vehicle,pretzels,distractor,3,3,NA,snack,bookcase,distractor,4,4,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303243124,12,colorSizeTrial,color44,small_orange_cap,target,5,1,NA,NA,small_blue_cap,distractor,4,4,NA,NA,small_blue_cap,distractor,1,3,NA,NA,small_blue_cap,distractor,2,5,NA,NA,small_blue_cap,distractor,3,2,NA,NA
7734-1,1455303257435,13,subSuperTrial,basic12,goldFish,target,4,4,fish,animal,horse,distractor,2,3,NA,animal,discusFish,distractor,3,2,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303268131,14,subSuperTrial,basic23,clownFish,target,3,2,fish,animal,train,distractor,2,3,NA,vehicle,squirrel,distractor,4,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303338251,15,colorSizeTrial,color21,small_blue_book,target,3,4,NA,NA,big_black_book,distractor,2,2,NA,NA,small_black_book,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303350347,16,subSuperTrial,basic22,sportsCar,target,4,3,car,vehicle,firetruck,distractor,2,4,NA,vehicle,ambulance,distractor,3,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303361707,17,colorSizeTrial,size43,big_blue_guitar,target,2,4,NA,NA,small_green_guitar,distractor,4,1,NA,NA,small_blue_guitar,distractor,5,2,NA,NA,small_blue_guitar,distractor,3,5,NA,NA,small_blue_guitar,distractor,1,3,NA,NA
7734-1,1455303381243,18,subSuperTrial,basic12,convertible,target,2,4,car,vehicle,ambulance,distractor,4,2,NA,vehicle,sedan,distractor,3,3,car,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303392697,19,subSuperTrial,basic23,mnMs,target,3,3,candy,snack,cow,distractor,2,4,NA,animal,popcorn,distractor,4,2,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303408563,20,subSuperTrial,basic33,bedsideTable,target,3,2,table,furniture,rhino,distractor,4,3,NA,animal,pottedPlant,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303426941,21,colorSizeTrial,color22,small_purple_coathanger,target,3,3,NA,NA,small_orange_coathanger,distractor,2,2,NA,NA,small_orange_coathanger,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303440039,22,subSuperTrial,basic12,dalmatian,target,4,4,dog,animal,iguana,distractor,3,3,NA,animal,greyhound,distractor,2,2,dog,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303455005,23,subSuperTrial,basic12,catfish,target,4,4,fish,animal,elephant,distractor,2,3,NA,animal,discusFish,distractor,3,2,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303467814,24,colorSizeTrial,size42,small_blue_candle,target,3,1,NA,NA,big_red_candle,distractor,5,4,NA,NA,big_red_candle,distractor,4,5,NA,NA,big_blue_candle,distractor,1,3,NA,NA,big_blue_candle,distractor,2,2,NA,NA
7734-1,1455303482501,25,colorSizeTrial,color33,big_orange_napkin,target,4,3,NA,NA,big_yellow_napkin,distractor,1,1,NA,NA,big_yellow_napkin,distractor,3,4,NA,NA,big_yellow_napkin,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303499729,26,subSuperTrial,basic22,coffeeTable,target,2,4,table,furniture,lamp,distractor,3,2,NA,furniture,wardrobe,distractor,4,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303512012,27,subSuperTrial,basic23,eagle,target,2,3,bird,animal,lobster,distractor,4,2,NA,animal,ambulance,distractor,3,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303520492,28,colorSizeTrial,color33,big_blue_ornament,target,3,1,NA,NA,big_purple_ornament,distractor,1,3,NA,NA,big_purple_ornament,distractor,2,2,NA,NA,big_purple_ornament,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303531030,29,colorSizeTrial,color22,big_pink_weddingcake,target,3,4,NA,NA,big_white_weddingcake,distractor,2,3,NA,NA,big_white_weddingcake,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303543531,30,colorSizeTrial,size33,big_red_bucket,target,3,2,NA,NA,small_red_bucket,distractor,4,1,NA,NA,small_red_bucket,distractor,1,3,NA,NA,small_red_bucket,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303585751,31,colorSizeTrial,color43,small_red_yarn,target,1,4,NA,NA,small_purple_yarn,distractor,5,2,NA,NA,small_purple_yarn,distractor,3,5,NA,NA,big_purple_yarn,distractor,2,1,NA,NA,small_purple_yarn,distractor,4,3,NA,NA
7734-1,1455303649794,32,colorSizeTrial,size31,big_white_teacup,target,2,4,NA,NA,small_white_teacup,distractor,1,3,NA,NA,small_pink_teacup,distractor,3,2,NA,NA,small_pink_teacup,distractor,4,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303664315,33,subSuperTrial,basic12,sunflower,target,3,3,flower,plant,rosemary,distractor,4,4,NA,plant,lily,distractor,2,2,flower,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303680744,34,subSuperTrial,basic33,diningTable,target,4,3,table,furniture,firetruck,distractor,3,2,NA,vehicle,rabbit,distractor,2,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7734-1,1455303707039,35,colorSizeTrial,color44,small_blue_golfball,target,2,4,NA,NA,small_pink_golfball,distractor,3,2,NA,NA,small_pink_golfball,distractor,5,1,NA,NA,small_pink_golfball,distractor,4,3,NA,NA,small_pink_golfball,distractor,1,5,NA,NA
7734-1,1455303724524,36,subSuperTrial,basic12,pigeon,target,2,2,bird,animal,squirrel,distractor,4,4,NA,animal,sparrow,distractor,3,3,bird,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
