gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
0189-3,1455315622928,1,colorSizeTrial,size21,small_purple_yarn,target,4,3,NA,NA,big_purple_yarn,distractor,2,2,NA,NA,big_red_yarn,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315633849,2,colorSizeTrial,size42,big_white_phone,target,2,2,NA,NA,small_pink_phone,distractor,4,3,NA,NA,small_pink_phone,distractor,3,1,NA,NA,small_white_phone,distractor,1,5,NA,NA,small_white_phone,distractor,5,4,NA,NA
0189-3,1455315639895,3,subSuperTrial,basic22,blackBear,target,2,3,bear,animal,rhino,distractor,3,4,NA,animal,snake,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315647939,4,colorSizeTrial,size41,small_blue_butterfly,target,5,4,NA,NA,big_purple_butterfly,distractor,4,5,NA,NA,big_blue_butterfly,distractor,2,1,NA,NA,big_purple_butterfly,distractor,1,3,NA,NA,big_purple_butterfly,distractor,3,2,NA,NA
0189-3,1455315655712,5,subSuperTrial,basic23,pigeon,target,2,4,bird,animal,lion,distractor,3,2,NA,animal,bookcase,distractor,4,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315661881,6,colorSizeTrial,size31,big_red_bucket,target,2,3,NA,NA,small_pink_bucket,distractor,3,1,NA,NA,small_pink_bucket,distractor,4,2,NA,NA,small_red_bucket,distractor,1,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315669527,7,subSuperTrial,basic12,gummyBears,target,3,2,candy,snack,chips,distractor,4,3,NA,snack,candyCorn,distractor,2,4,candy,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315677048,8,colorSizeTrial,color31,small_red_bike,target,2,4,NA,NA,big_purple_bike,distractor,3,1,NA,NA,big_purple_bike,distractor,1,2,NA,NA,small_purple_bike,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315681867,9,subSuperTrial,basic33,germanShepherd,target,4,2,dog,animal,gloves,distractor,3,3,NA,clothing,pottedPlant,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315686648,10,subSuperTrial,basic22,polarBear,target,3,2,bear,animal,rhino,distractor,2,3,NA,animal,pig,distractor,4,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315693173,11,colorSizeTrial,size21,small_red_toothbrush,target,2,4,NA,NA,big_red_toothbrush,distractor,3,2,NA,NA,big_blue_toothbrush,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315697323,12,subSuperTrial,basic33,sportsCar,target,2,4,car,vehicle,socks,distractor,3,2,NA,clothing,pottedPlant,distractor,4,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315711972,13,subSuperTrial,basic12,poloShirt,target,2,2,shirt,clothing,gloves,distractor,3,4,NA,clothing,campShirt,distractor,4,3,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315720245,14,colorSizeTrial,size43,big_black_avocado,target,1,5,NA,NA,small_black_avocado,distractor,3,4,NA,NA,small_green_avocado,distractor,4,3,NA,NA,small_black_avocado,distractor,2,2,NA,NA,small_black_avocado,distractor,5,1,NA,NA
0189-3,1455315725503,15,subSuperTrial,basic23,daisy,target,2,2,flower,plant,horse,distractor,4,4,NA,animal,grasses,distractor,3,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315731389,16,subSuperTrial,basic22,grizzlyBear,target,4,3,bear,animal,sheep,distractor,3,2,NA,animal,hamster,distractor,2,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315737960,17,colorSizeTrial,size44,big_blue_binder,target,2,1,NA,NA,small_blue_binder,distractor,1,3,NA,NA,small_blue_binder,distractor,3,4,NA,NA,small_blue_binder,distractor,4,5,NA,NA,small_blue_binder,distractor,5,2,NA,NA
0189-3,1455315744919,18,colorSizeTrial,size42,small_red_tack,target,5,5,NA,NA,big_red_tack,distractor,1,3,NA,NA,big_blue_tack,distractor,4,4,NA,NA,big_blue_tack,distractor,3,1,NA,NA,big_red_tack,distractor,2,2,NA,NA
0189-3,1455315750070,19,subSuperTrial,basic33,clownFish,target,3,4,fish,animal,bathrobe,distractor,4,3,NA,clothing,rosemary,distractor,2,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315757144,20,colorSizeTrial,color22,small_white_shoe,target,4,4,NA,NA,small_yellow_shoe,distractor,2,3,NA,NA,small_yellow_shoe,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315762840,21,subSuperTrial,basic33,convertible,target,3,4,car,vehicle,socks,distractor,2,2,NA,clothing,pottedPlant,distractor,4,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0189-3,1455315767380,22,colorSizeTrial,color41,big_purple_rock,target,5,3,NA,NA,small_green_rock,distractor,3,1,NA,NA,big_green_rock,distractor,1,2,NA,NA,small_green_rock,distractor,4,4,NA,NA,small_green_rock,distractor,2,5,NA,NA
