gameid,time,roundNum,sender,contents
1997-d,1455300960965,1,speaker,"small purple"
1997-d,1455300973491,2,speaker,"largest"
1997-d,1455300983836,3,speaker,"shirt"
1997-d,1455300992098,4,speaker,"candy"
1997-d,1455301001017,5,speaker,"large pink"
1997-d,1455301009960,6,speaker,"biggest"
1997-d,1455301018427,7,speaker,"large green"
1997-d,1455301026807,8,speaker,"grey fish"
1997-d,1455301033202,9,speaker,"shirt"
1997-d,1455301039442,10,speaker,"white"
1997-d,1455301048899,11,speaker,"flower"
1997-d,1455301058481,12,speaker,"long sleeve shirt"
1997-d,1455301064853,13,speaker,"dalmation"
1997-d,1455301071709,14,speaker,"car"
1997-d,1455301078588,15,speaker,"small white"
1997-d,1455301087863,16,speaker,"smallest pink"
1997-d,1455301095892,17,speaker,"greenest"
1997-d,1455301102496,18,speaker,"table"
1997-d,1455301110042,19,speaker,"bird"
1997-d,1455301115750,20,speaker,"green"
1997-d,1455301121791,21,speaker,"purple"
1997-d,1455301126957,22,speaker,"candy"
1997-d,1455301133325,23,speaker,"bird"
1997-d,1455301139309,24,speaker,"purple"
1997-d,1455301147735,25,speaker,"smallest blue"
1997-d,1455301154510,26,speaker,"blue"
1997-d,1455301161440,27,speaker,"bear"
1997-d,1455301167875,28,speaker,"black"
1997-d,1455301176283,29,speaker,"large table"
1997-d,1455301184917,30,speaker,"small pink"
1997-d,1455301190762,31,speaker,"flower"
1997-d,1455301197237,32,speaker,"orange"
1997-d,1455301204604,33,speaker,"small blue"
1997-d,1455301209628,34,speaker,"fish"
1997-d,1455301214836,35,speaker,"bear"
1997-d,1455301222971,36,speaker,"largest"
1997-d,1455301230632,37,speaker,"flower"
1997-d,1455301235698,38,speaker,"green"
1997-d,1455301241029,39,speaker,"bird"
1997-d,1455301250069,40,speaker,"nightstand"
1997-d,1455301256320,41,speaker,"car"
1997-d,1455301262118,42,speaker,"largest"
1997-d,1455301267057,43,speaker,"candy"
1997-d,1455301272268,44,speaker,"bear"
1997-d,1455301277452,45,speaker,"panda"
1997-d,1455301283187,46,speaker,"table"
1997-d,1455301288275,47,speaker,"dog"
1997-d,1455301293359,48,speaker,"bird"
1997-d,1455301303213,49,speaker,"m&m"
1997-d,1455301308521,50,speaker,"blu"
1997-d,1455301314065,51,speaker,"blue"
1997-d,1455301321062,52,speaker,"flower"
1997-d,1455301334239,53,speaker,"silver car"
1997-d,1455301339934,54,speaker,"smallest"
1997-d,1455301345764,55,speaker,"shirt"
1997-d,1455301351642,56,speaker,"fish"
1997-d,1455301357834,57,speaker,"smallest"
1997-d,1455301364063,58,speaker,"small red"
1997-d,1455301369515,59,speaker,"green"
1997-d,1455301375009,60,speaker,"pink"
1997-d,1455301385696,61,speaker,"smallest purple"
1997-d,1455301395515,62,speaker,"smallest green"
1997-d,1455301400734,63,speaker,"green"
1997-d,1455301405715,64,speaker,"blue"
1997-d,1455301412851,65,speaker,"smallest"
1997-d,1455301418715,66,speaker,"orange"
1997-d,1455301426937,67,speaker,"white car"
1997-d,1455301435351,68,speaker,"husky"
1997-d,1455301441567,69,speaker,"largest"
1997-d,1455301447742,70,speaker,"fish"
1997-d,1455301456901,71,speaker,"husky"
1997-d,1455301462320,72,speaker,"re"
