gameid,time,roundNum,sender,contents
0842-a,1455301205654,1,speaker,"table"
0842-a,1455301236571,2,speaker,"multicolor candies"
0842-a,1455301249649,2,listener,"beans or corns"
0842-a,1455301253790,2,speaker,"there are some black ones among them"
0842-a,1455301267831,3,speaker,"the biggest piece"
0842-a,1455301281681,4,speaker,"violet one"
0842-a,1455301292328,5,speaker,"small and pink"
0842-a,1455301304409,6,speaker,"golden fish"
0842-a,1455301317537,7,speaker,"violet one"
0842-a,1455301328667,7,listener,"size"
0842-a,1455301338144,8,speaker,"shirt"
0842-a,1455301346349,9,speaker,"smallest"
0842-a,1455301355018,10,speaker,"dove"
0842-a,1455301367143,11,speaker,"darkest one"
0842-a,1455301388814,12,speaker,"mmm.~~~~~~ orangest one lol"
0842-a,1455301398907,13,speaker,"brown"
0842-a,1455301412021,14,speaker,"swordfish"
0842-a,1455301418562,15,speaker,"bear"
0842-a,1455301427280,16,speaker,"yellow"
0842-a,1455301435305,17,speaker,"biggest"
0842-a,1455301440805,18,speaker,"car"
0842-a,1455301451332,19,speaker,"dog"
0842-a,1455301458784,20,speaker,"green"
0842-a,1455301470276,21,speaker,"smallest purple"
0842-a,1455301475705,22,speaker,"green"
0842-a,1455301484586,23,speaker,"jelly"
0842-a,1455301492956,24,speaker,"green"
0842-a,1455301498948,25,speaker,"shirt"
0842-a,1455301504668,26,speaker,"biggest"
0842-a,1455301510811,27,speaker,"biggest"
0842-a,1455301515645,28,speaker,"rose"
0842-a,1455301521823,29,speaker,"flower"
0842-a,1455301527664,30,speaker,"bear"
0842-a,1455301536377,31,speaker,"catfish"
0842-a,1455301544777,32,speaker,"big black"
0842-a,1455301551997,33,speaker,"mm"
0842-a,1455301558186,34,speaker,"blue"
0842-a,1455301565090,35,speaker,"blue"
0842-a,1455301574693,36,speaker,"racing car"
0842-a,1455301579770,37,speaker,"red"
0842-a,1455301585315,38,speaker,"brown"
0842-a,1455301593608,39,speaker,"big blue"
0842-a,1455301601712,40,speaker,"shirt"
0842-a,1455301606972,41,speaker,"wolf"
0842-a,1455301620220,42,speaker,"offroad car"
0842-a,1455301630207,43,speaker,"orange"
0842-a,1455301636632,44,speaker,"small blue"
0842-a,1455301643085,45,speaker,"small red"
0842-a,1455301652642,46,speaker,"small orange"
0842-a,1455301658181,47,speaker,"dog"
0842-a,1455301669215,48,speaker,"mers"
0842-a,1455301677389,48,speaker,"silver"
0842-a,1455301684017,49,speaker,"eagle"
0842-a,1455301696973,50,speaker,"small pink"
0842-a,1455301718820,51,speaker,"flower"
0842-a,1455301726200,52,speaker,"black"
0842-a,1455301731431,53,speaker,"mm"
0842-a,1455301737686,54,speaker,"dog"
0842-a,1455301747008,55,speaker,"big black"
0842-a,1455301755667,56,speaker,"violet"
0842-a,1455301761376,57,speaker,"fish"
0842-a,1455301770725,58,speaker,"sunflower"
0842-a,1455301777046,59,speaker,"table"
0842-a,1455301790733,60,speaker,"bench"
0842-a,1455301797595,61,speaker,"bird"
0842-a,1455301808984,62,speaker,"small"
0842-a,1455301815263,63,speaker,"whaite"
0842-a,1455301823368,64,speaker,"violet"
0842-a,1455301828614,65,speaker,"shirt"
0842-a,1455301835380,66,speaker,"panda"
0842-a,1455301842641,67,speaker,"bear"
0842-a,1455301850457,68,speaker,"big blue"
0842-a,1455301858534,69,speaker,"small black"
0842-a,1455301864353,70,speaker,"parrot"
0842-a,1455301871841,71,speaker,"pink"
0842-a,1455301878248,72,speaker,"big pink"
