gameid,time,roundNum,sender,contents
2785-6,1455302503989,1,speaker,"The object is a gold balloon"
2785-6,1455302523736,1,listener,"What is the size?"
2785-6,1455302531733,1,speaker,"Large"
2785-6,1455302541968,2,speaker,"Largest blue tac"
2785-6,1455302550334,3,speaker,"red candle"
2785-6,1455302556717,4,speaker,"rose"
2785-6,1455302561822,5,speaker,"blue shirt"
2785-6,1455302567062,6,speaker,"goldfish"
2785-6,1455302572341,7,speaker,"orange ball"
2785-6,1455302577488,8,speaker,"blue shirt"
2785-6,1455302587173,9,speaker,"biggest orange hanger thing"
2785-6,1455302595773,10,speaker,"smallest blue pillow"
2785-6,1455302603773,11,speaker,"biggest red peper"
2785-6,1455302609508,12,speaker,"table"
2785-6,1455302617341,13,speaker,"jellybeans"
2785-6,1455302622461,14,speaker,"purple"
2785-6,1455302627948,15,speaker,"purple"
2785-6,1455302633621,16,speaker,"pigeon"
2785-6,1455302644021,17,speaker,"biggest green avocado"
2785-6,1455302653157,18,speaker,"hawaiin shirt"
2785-6,1455302660682,19,speaker,"smallest pink cup"
2785-6,1455302667976,20,speaker,"purple"
2785-6,1455302675439,21,speaker,"whie"
2785-6,1455302681326,22,speaker,"small blue"
2785-6,1455302687550,23,speaker,"sunflower"
2785-6,1455302695683,24,speaker,"purple"
2785-6,1455302700424,25,speaker,"yellow"
2785-6,1455302710297,25,listener,"I see green"
2785-6,1455302715484,25,speaker,"oh yeah"
2785-6,1455302721674,26,speaker,"dalmation"
2785-6,1455302728535,27,speaker,"purple"
2785-6,1455302736896,28,speaker,"black bear"
2785-6,1455302742016,29,speaker,"panda"
2785-6,1455302748556,30,speaker,"hummingbird"
2785-6,1455302755495,31,speaker,"grizzly"
2785-6,1455302760463,32,speaker,"skittles"
2785-6,1455302767175,33,speaker,"husky"
2785-6,1455302772344,34,speaker,"table"
2785-6,1455302781423,35,speaker,"m&ms"
2785-6,1455302786071,36,speaker,"rose"
2785-6,1455302795263,37,speaker,"white with yellow center"
2785-6,1455302802977,37,listener,"daisy"
2785-6,1455302812755,38,speaker,"big pink phone"
2785-6,1455302822003,39,speaker,"big red pale"
2785-6,1455302827623,40,speaker,"green"
2785-6,1455302833545,41,speaker,"car"
2785-6,1455302839703,42,speaker,"small green"
2785-6,1455302846703,43,speaker,"big blue"
2785-6,1455302856703,44,speaker,"biggest purple"
2785-6,1455302861857,45,speaker,"table"
2785-6,1455302869946,46,speaker,"biggest turtle"
2785-6,1455302880262,47,speaker,"blue? comb"
2785-6,1455302886361,47,listener,"yes"
2785-6,1455302889697,47,speaker,"it's like abluish black"
2785-6,1455302895115,48,speaker,"brown "
2785-6,1455302900944,49,speaker,"grey car"
2785-6,1455302907375,50,speaker,"car"
2785-6,1455302912511,51,speaker,"blue"
2785-6,1455302918043,52,speaker,"blue shirt"
2785-6,1455302923511,53,speaker,"eagle"
2785-6,1455302929375,54,speaker,"small white"
2785-6,1455302934656,55,speaker,"dog"
2785-6,1455302942072,56,speaker,"night stand"
2785-6,1455302948095,57,speaker,"biggest"
2785-6,1455302953416,58,speaker,"pug"
2785-6,1455302963263,59,speaker,"fish"
2785-6,1455302968303,60,speaker,"van"
2785-6,1455302975665,61,speaker,"small yellow"
2785-6,1455302982743,62,speaker,"polar bear"
2785-6,1455302990863,63,speaker,"small purple"
2785-6,1455302999223,64,speaker,"biggest"
2785-6,1455303005455,65,speaker,"goldfish"
2785-6,1455303010788,66,listener,"clown fish"
2785-6,1455303011795,66,speaker,"swordfish"
2785-6,1455303015183,67,speaker,"yeah clown haha"
2785-6,1455303017424,67,speaker,"blue"
2785-6,1455303023943,68,speaker,"red"
2785-6,1455303030175,69,speaker,"biggest"
2785-6,1455303037415,70,speaker,"gummy bears!"
2785-6,1455303042847,71,speaker,"brown"
2785-6,1455303047415,72,speaker,"parrot"
