gameid,time,roundNum,sender,contents
4123-8,1455306339333,1,speaker,"the small purple one"
4123-8,1455306348060,2,speaker,"the red one"
4123-8,1455306354415,3,speaker,"the smallest"
4123-8,1455306359990,4,speaker,"green"
4123-8,1455306367549,5,speaker,"table"
4123-8,1455306373318,6,speaker,"skittles"
4123-8,1455306378469,7,speaker,"blue"
4123-8,1455306384269,8,speaker,"big bear"
4123-8,1455306390728,9,speaker,"blue"
4123-8,1455306395539,10,speaker,"pink"
4123-8,1455306401304,11,speaker,"black"
4123-8,1455306407763,12,speaker,"gummy bears"
4123-8,1455306413087,13,speaker,"tulip"
4123-8,1455306416403,13,speaker,"red"
4123-8,1455306421045,14,speaker,"smallest"
4123-8,1455306426705,15,speaker,"white"
4123-8,1455306431465,16,speaker,"daisy"
4123-8,1455306439929,17,speaker,"black bear"
4123-8,1455306446144,18,speaker,"biggest"
4123-8,1455306453498,19,speaker,"large blue"
4123-8,1455306458982,20,speaker,"red"
4123-8,1455306467218,21,speaker,"yellow flower"
4123-8,1455306472218,22,speaker,"smallest"
4123-8,1455306477682,23,speaker,"small red"
4123-8,1455306483745,24,speaker,"t shirt"
4123-8,1455306491729,25,speaker,"german shepherd"
4123-8,1455306499401,26,speaker,"small green"
4123-8,1455306504883,27,speaker,"jelly"
4123-8,1455306506616,27,speaker,"beans"
4123-8,1455306513979,28,speaker,"sword fish"
4123-8,1455306519452,29,speaker,"blue"
4123-8,1455306526093,30,speaker,"husky"
4123-8,1455306533270,31,speaker,"small green"
4123-8,1455306539277,32,speaker,"hawaii "
4123-8,1455306541573,32,speaker,"shirt"
4123-8,1455306544072,33,speaker,"eagle"
4123-8,1455306550027,34,speaker,"fish"
4123-8,1455306555250,35,speaker,"suv"
4123-8,1455306560689,36,speaker,"car"
4123-8,1455306565799,37,speaker,"blue"
4123-8,1455306570399,38,speaker,"gold"
4123-8,1455306575033,39,speaker,"car"
4123-8,1455306579789,40,speaker,"table"
4123-8,1455306585707,41,speaker,"humming"
4123-8,1455306589739,42,speaker,"mm"
4123-8,1455306595178,43,speaker,"small"
4123-8,1455306601605,44,speaker,"small purple"
4123-8,1455306623500,45,speaker,"the smallest purple butterfly"
4123-8,1455306629412,45,listener,"They're turtles."
4123-8,1455306630851,45,speaker,"smallest"
4123-8,1455306633110,45,speaker,"sorry"
4123-8,1455306638754,45,listener,"You're upsetting the AI!"
4123-8,1455306640144,45,speaker,"It was lag"
4123-8,1455306645042,45,listener,"And there's two small ones."
4123-8,1455306651158,45,speaker,"the lighter one"
4123-8,1455306657410,46,speaker,"pigeon"
4123-8,1455306664518,47,speaker,"Are you complaining?"
4123-8,1455306667028,47,speaker,"dalmation"
4123-8,1455306673445,48,speaker,"small white"
