gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
5207-6,1479924721299,1,pear,informative-cc,pear_yellow,target,3,2,distractor_pear_yellow,distractor,2,3,pear_orange,distractor,4,4
5207-6,1479924806846,2,apple,informative-cc,distractor_apple_blue,distractor,4,3,apple_red,distractor,3,4,apple_blue,target,2,2
5207-6,1479924834431,3,avocado,informative,avocado_green,target,4,3,avocado_red,distractor,2,4,carrot_orange,distractor,3,2
5207-6,1479924847774,4,avocado,informative,avocado_black,target,3,4,carrot_pink,distractor,2,2,avocado_green,distractor,4,3
5207-6,1479924865790,5,pepper,overinformative-cc,pepper_black,target,4,4,distractor_pepper_black,distractor,3,3,carrot_pink,distractor,2,2
5207-6,1479924880955,6,carrot,overinformative,carrot_brown,target,2,2,pepper_black,distractor,3,4,apple_red,distractor,4,3
5207-6,1479924896665,7,apple,informative-cc,apple_green,target,3,2,distractor_apple_green,distractor,2,3,apple_blue,distractor,4,4
5207-6,1479924923635,8,pepper,overinformative-cc,distractor_pepper_red,distractor,2,3,pepper_red,target,3,4,pear_green,distractor,4,2
5207-6,1479924941389,9,avocado,informative-cc,avocado_black,target,4,4,avocado_green,distractor,2,2,distractor_avocado_black,distractor,3,3
5207-6,1479924969873,10,avocado,overinformative-cc,carrot_brown,distractor,2,2,distractor_avocado_red,distractor,3,4,avocado_red,target,4,3
5207-6,1479924985023,11,apple,overinformative-cc,apple_blue,target,3,2,distractor_apple_blue,distractor,4,3,banana_brown,distractor,2,4
5207-6,1479924998083,12,apple,informative-cc,apple_red,target,3,2,distractor_apple_red,distractor,2,3,apple_blue,distractor,4,4
5207-6,1479925011044,13,apple,overinformative,apple_green,target,3,2,pepper_red,distractor,2,4,avocado_black,distractor,4,3
5207-6,1479925029519,14,avocado,informative-cc,avocado_green,target,2,2,distractor_avocado_green,distractor,4,3,avocado_red,distractor,3,4
5207-6,1479925041462,15,carrot,informative,carrot_orange,target,2,4,tomato_green,distractor,3,3,carrot_pink,distractor,4,2
5207-6,1479925055232,16,pepper,informative,pepper_orange,target,2,3,pepper_black,distractor,4,2,banana_yellow,distractor,3,4
5207-6,1479925077649,17,carrot,informative,carrot_pink,target,3,2,avocado_black,distractor,4,3,carrot_brown,distractor,2,4
5207-6,1479925092553,18,carrot,overinformative,carrot_orange,target,3,3,avocado_green,distractor,2,4,pepper_black,distractor,4,2
5207-6,1479925109459,19,pepper,overinformative-cc,pepper_orange,target,4,3,avocado_black,distractor,2,2,distractor_pepper_orange,distractor,3,4
5207-6,1479925120688,20,pepper,overinformative,pepper_black,target,2,4,carrot_orange,distractor,4,3,tomato_red,distractor,3,2
5207-6,1479925129714,21,banana,overinformative,banana_yellow,target,2,3,apple_red,distractor,3,2,carrot_pink,distractor,4,4
5207-6,1479925141643,22,banana,informative-cc,banana_brown,target,3,2,banana_yellow,distractor,2,4,distractor_banana_brown,distractor,4,3
5207-6,1479925159840,23,avocado,informative,carrot_orange,distractor,3,3,avocado_red,target,2,4,avocado_black,distractor,4,2
5207-6,1479925172570,24,carrot,overinformative,carrot_pink,target,3,3,banana_yellow,distractor,2,2,pear_yellow,distractor,4,4
5207-6,1479925185250,25,banana,overinformative,banana_blue,target,3,2,pear_yellow,distractor,4,3,avocado_black,distractor,2,4
5207-6,1479925203750,26,pear,informative-cc,pear_orange,target,2,3,distractor_pear_orange,distractor,4,4,pear_green,distractor,3,2
5207-6,1479925220999,27,pear,informative-cc,pear_green,target,4,3,distractor_pear_green,distractor,3,4,pear_orange,distractor,2,2
5207-6,1479925234841,28,carrot,overinformative-cc,carrot_brown,target,2,3,distractor_carrot_brown,distractor,3,2,pear_orange,distractor,4,4
5207-6,1479925252402,29,apple,overinformative,apple_red,target,4,2,avocado_black,distractor,3,3,pear_green,distractor,2,4
5207-6,1479925272038,30,tomato,informative-cc,tomato_red,target,4,2,tomato_green,distractor,2,3,distractor_tomato_red,distractor,3,4
5207-6,1479925288183,31,pear,informative,pear_orange,target,2,3,tomato_green,distractor,3,2,pear_green,distractor,4,4
5207-6,1479925294791,32,pepper,overinformative,pepper_red,target,4,3,avocado_black,distractor,2,2,banana_blue,distractor,3,4
