gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
8931-5,1479925323390,1,pear,informative-cc,pear_orange,target,4,4,distractor_pear_orange,distractor,3,3,pear_yellow,distractor,2,2
8931-5,1479925337293,2,pepper,informative-cc,pepper_red,target,3,2,distractor_pepper_red,distractor,2,4,pepper_black,distractor,4,3
8931-5,1479925350747,3,carrot,informative,carrot_brown,target,4,2,carrot_pink,distractor,3,3,banana_blue,distractor,2,4
8931-5,1479925361584,4,banana,informative,banana_brown,target,3,2,avocado_green,distractor,2,3,banana_blue,distractor,4,4
8931-5,1479925401485,5,banana,overinformative,banana_yellow,target,2,2,pear_green,distractor,3,4,apple_green,distractor,4,3
8931-5,1479925422391,6,pepper,informative,pepper_red,target,2,3,banana_blue,distractor,3,4,pepper_orange,distractor,4,2
8931-5,1479925435213,7,pear,overinformative,pear_green,target,3,2,tomato_red,distractor,2,3,tomato_pink,distractor,4,4
8931-5,1479925443703,8,tomato,overinformative,tomato_pink,target,4,3,pepper_red,distractor,2,4,apple_red,distractor,3,2
8931-5,1479925464133,9,pear,overinformative-cc,pear_orange,target,4,3,distractor_pear_orange,distractor,2,2,avocado_black,distractor,3,4
8931-5,1479925473997,10,avocado,informative,avocado_red,target,4,4,avocado_green,distractor,2,2,carrot_orange,distractor,3,3
8931-5,1479925480063,11,carrot,informative,carrot_pink,target,3,3,tomato_red,distractor,4,2,carrot_orange,distractor,2,4
8931-5,1479925488952,12,apple,informative-cc,apple_blue,target,4,4,apple_red,distractor,2,2,distractor_apple_blue,distractor,3,3
8931-5,1479925495629,13,apple,informative,apple_green,target,4,4,apple_red,distractor,3,3,pear_yellow,distractor,2,2
8931-5,1479925504611,14,avocado,overinformative-cc,avocado_black,target,3,3,distractor_avocado_black,distractor,4,2,pear_orange,distractor,2,4
8931-5,1479925513428,15,pepper,informative,pepper_black,target,4,3,pepper_orange,distractor,2,4,carrot_pink,distractor,3,2
8931-5,1479925525516,16,pepper,overinformative-cc,pepper_orange,target,2,2,distractor_pepper_orange,distractor,4,3,carrot_pink,distractor,3,4
8931-5,1479925529627,17,banana,informative,banana_blue,target,2,4,apple_green,distractor,3,3,banana_yellow,distractor,4,2
8931-5,1479925536937,18,pepper,informative,pepper_orange,target,4,3,pepper_red,distractor,2,4,banana_yellow,distractor,3,2
8931-5,1479925547313,19,apple,informative-cc,apple_red,target,3,4,apple_blue,distractor,2,3,distractor_apple_red,distractor,4,2
8931-5,1479925554018,20,carrot,informative,carrot_orange,target,3,2,apple_green,distractor,4,4,carrot_brown,distractor,2,3
8931-5,1479925559671,21,banana,informative,banana_yellow,target,4,2,tomato_pink,distractor,2,3,banana_blue,distractor,3,4
8931-5,1479925567607,22,pepper,overinformative-cc,pepper_black,target,4,4,distractor_pepper_black,distractor,3,3,apple_blue,distractor,2,2
8931-5,1479925576163,23,pear,informative,pear_yellow,target,4,3,pear_green,distractor,3,2,apple_blue,distractor,2,4
8931-5,1479925581595,24,avocado,overinformative,avocado_green,target,3,3,pear_yellow,distractor,2,2,banana_blue,distractor,4,4
8931-5,1479925588158,25,tomato,informative,tomato_green,target,3,4,tomato_pink,distractor,2,2,banana_brown,distractor,4,3
8931-5,1479925596940,26,carrot,informative-cc,carrot_brown,target,4,4,distractor_carrot_brown,distractor,3,2,carrot_orange,distractor,2,3
8931-5,1479925621915,27,apple,informative-cc,apple_green,target,4,2,apple_red,distractor,2,3,distractor_apple_green,distractor,3,4
8931-5,1479925637566,28,pear,informative-cc,pear_green,target,3,3,distractor_pear_green,distractor,4,4,pear_orange,distractor,2,2
8931-5,1479925641968,29,banana,overinformative,banana_blue,target,3,3,pear_yellow,distractor,4,4,pepper_red,distractor,2,2
8931-5,1479925654988,30,apple,overinformative-cc,apple_red,target,4,3,carrot_orange,distractor,2,2,distractor_apple_red,distractor,3,4
8931-5,1479925664581,31,carrot,informative-cc,carrot_pink,target,2,2,distractor_carrot_pink,distractor,4,3,carrot_orange,distractor,3,4
8931-5,1479925679095,32,avocado,informative-cc,avocado_black,target,2,3,avocado_red,distractor,3,2,distractor_avocado_black,distractor,4,4
8931-5,1479925688794,33,carrot,overinformative-cc,carrot_orange,target,4,3,apple_red,distractor,2,4,distractor_carrot_orange,distractor,3,2
8931-5,1479925698203,34,pear,informative-cc,pear_yellow,target,4,4,pear_orange,distractor,3,3,distractor_pear_yellow,distractor,2,2
8931-5,1479925708422,35,tomato,informative-cc,tomato_pink,target,3,2,tomato_green,distractor,4,3,distractor_tomato_pink,distractor,2,4
8931-5,1479925714608,36,banana,overinformative,banana_brown,target,2,3,pear_orange,distractor,4,2,tomato_red,distractor,3,4
