gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
8116-a,1479926899138,1,avocado,informative-cc,avocado_green,target,4,4,avocado_black,distractor,2,3,distractor_avocado_green,distractor,3,2
8116-a,1479926932831,2,pepper,overinformative-cc,pepper_red,target,4,2,banana_yellow,distractor,3,4,distractor_pepper_red,distractor,2,3
8116-a,1479926950439,3,apple,informative,apple_green,target,4,2,apple_blue,distractor,2,3,carrot_pink,distractor,3,4
8116-a,1479926975938,4,tomato,informative,tomato_red,target,3,2,pear_yellow,distractor,4,4,tomato_pink,distractor,2,3
8116-a,1479926993946,5,apple,overinformative-cc,apple_blue,target,4,3,pepper_red,distractor,2,4,distractor_apple_blue,distractor,3,2
8116-a,1479927006234,6,banana,informative,banana_yellow,target,2,4,banana_brown,distractor,3,3,pepper_red,distractor,4,2
8116-a,1479927017870,7,avocado,overinformative,avocado_red,target,2,2,tomato_green,distractor,3,3,apple_blue,distractor,4,4
8116-a,1479927059371,8,avocado,informative-cc,avocado_black,target,2,2,distractor_avocado_black,distractor,3,4,avocado_green,distractor,4,3
8116-a,1479927072629,9,pepper,informative-cc,pepper_red,target,3,3,pepper_orange,distractor,4,4,distractor_pepper_red,distractor,2,2
8116-a,1479927085716,10,avocado,overinformative,avocado_green,target,4,4,banana_brown,distractor,3,3,pepper_black,distractor,2,2
8116-a,1479927103566,11,pepper,overinformative-cc,pepper_orange,target,4,4,distractor_pepper_orange,distractor,3,3,pear_green,distractor,2,2
8116-a,1479927114451,12,pepper,overinformative,pepper_black,target,3,4,tomato_red,distractor,4,2,pear_yellow,distractor,2,3
8116-a,1479927126212,13,carrot,informative,carrot_brown,target,4,2,carrot_orange,distractor,3,4,pear_yellow,distractor,2,3
8116-a,1479927133337,14,banana,overinformative,banana_yellow,target,3,2,carrot_brown,distractor,2,4,carrot_pink,distractor,4,3
8116-a,1479927145407,15,carrot,informative-cc,carrot_brown,target,4,2,distractor_carrot_brown,distractor,2,4,carrot_pink,distractor,3,3
8116-a,1479927199480,16,pear,informative-cc,pear_yellow,target,3,3,pear_orange,distractor,4,2,distractor_pear_yellow,distractor,2,4
8116-a,1479927207184,17,pear,overinformative,pear_orange,target,4,4,pepper_black,distractor,3,2,apple_blue,distractor,2,3
8116-a,1479927218831,18,apple,overinformative,apple_red,target,3,2,banana_blue,distractor,4,4,carrot_orange,distractor,2,3
8116-a,1479927223486,19,banana,informative,banana_brown,target,3,3,banana_yellow,distractor,4,4,tomato_pink,distractor,2,2
8116-a,1479927233235,20,pear,informative,pear_green,target,4,3,pear_orange,distractor,3,4,carrot_pink,distractor,2,2
8116-a,1479927247904,21,apple,informative-cc,apple_green,target,3,4,apple_blue,distractor,4,3,distractor_apple_green,distractor,2,2
8116-a,1479927256091,22,avocado,informative,avocado_black,target,2,4,carrot_pink,distractor,4,3,avocado_green,distractor,3,2
8116-a,1479927272064,23,pear,overinformative-cc,pear_yellow,target,3,4,distractor_pear_yellow,distractor,2,3,avocado_black,distractor,4,2
8116-a,1479927282250,24,apple,informative-cc,apple_red,target,2,2,apple_blue,distractor,3,4,distractor_apple_red,distractor,4,3
8116-a,1479927293605,25,pepper,overinformative-cc,pepper_black,target,3,2,apple_red,distractor,4,4,distractor_pepper_black,distractor,2,3
8116-a,1479927313291,26,pear,informative-cc,pear_orange,target,3,4,pear_yellow,distractor,2,2,distractor_pear_orange,distractor,4,3
8116-a,1479927330661,27,banana,informative-cc,banana_blue,target,2,3,distractor_banana_blue,distractor,3,2,banana_brown,distractor,4,4
8116-a,1479927337971,28,banana,overinformative,banana_brown,target,2,2,apple_red,distractor,3,3,pepper_orange,distractor,4,4
8116-a,1479927348481,29,banana,informative,banana_blue,target,4,3,banana_brown,distractor,3,4,avocado_red,distractor,2,2
8116-a,1479927359027,30,pepper,informative,pepper_orange,target,2,4,carrot_pink,distractor,4,3,pepper_black,distractor,3,2
8116-a,1479927370384,31,carrot,overinformative-cc,carrot_pink,target,3,2,pepper_red,distractor,2,3,distractor_carrot_pink,distractor,4,4
8116-a,1479927376507,32,tomato,overinformative,tomato_green,target,2,2,avocado_black,distractor,3,4,avocado_red,distractor,4,3
8116-a,1479927388977,33,tomato,informative-cc,tomato_pink,target,3,3,distractor_tomato_pink,distractor,4,4,tomato_green,distractor,2,2
8116-a,1479927401123,34,tomato,overinformative-cc,tomato_red,target,2,2,distractor_tomato_red,distractor,4,4,pear_yellow,distractor,3,3
8116-a,1479927408337,35,tomato,informative,tomato_pink,target,3,4,tomato_red,distractor,2,3,pepper_black,distractor,4,2
8116-a,1479927413443,36,carrot,informative,carrot_orange,target,4,3,pepper_black,distractor,3,4,carrot_brown,distractor,2,2
8116-a,1479927425224,37,apple,overinformative,apple_blue,target,2,4,avocado_green,distractor,3,2,carrot_pink,distractor,4,3
8116-a,1479927438348,38,tomato,overinformative-cc,tomato_green,target,3,3,distractor_tomato_green,distractor,2,4,banana_brown,distractor,4,2
8116-a,1479927459705,39,avocado,overinformative-cc,avocado_red,target,4,2,distractor_avocado_red,distractor,2,4,carrot_orange,distractor,3,3
8116-a,1479927471734,40,carrot,overinformative,carrot_pink,target,2,3,pear_yellow,distractor,4,2,tomato_green,distractor,3,4
8116-a,1479927497006,41,pear,overinformative-cc,pear_green,target,3,4,distractor_pear_green,distractor,2,2,carrot_brown,distractor,4,3
8116-a,1479927508741,42,carrot,overinformative-cc,carrot_orange,target,4,2,tomato_red,distractor,2,3,distractor_carrot_orange,distractor,3,4
