workerid,rt,color,label,item,slide_number_in_experiment,response,condition,size,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,4944,orange,an orange billiard ball,billiardball,2,0.69,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3686,purple,a purple rock,rock,3,0.24,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3712,green,a green frame,framee,4,0.35,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2320,pink,a pink balloon,balloon,5,0.78,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2264,brown,a brown belt,belt,6,0.71,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2480,green,a pepper,pepper,7,0.93,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2159,green,an avocado,avocado,8,0.87,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3617,blue,a blue butterfly,butterfly,9,0.83,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,5727,red,a chair,chair,10,0.41,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2897,pink,a wedding cake,weddingcake,11,0.65,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
