workerid,rt,color_utterance,slide_number_in_experiment,response,item_color,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,3838,brown,2,0,tomato_purple,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1915,black,3,0,carrot_purple,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1884,blue,4,0.82,apple_blue,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1682,orange,5,1,pear_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1413,brown,6,1,banana_brown,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2084,orange,7,0,avocado_black,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1512,blue,8,0,carrot_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1820,orange,9,0,tomato_green,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2682,purple,10,0.19,apple_red,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1888,purple,11,0,carrot_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1996,black,12,0,carrot_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,3724,brown,13,0.36,pepper_red,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2964,purple,14,1,tomato_purple,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,3156,purple,15,0.14,avocado_red,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2108,green,16,0.65,apple_green,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2542,green,17,0.66,tomato_green,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1918,black,18,0,banana_yellow,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2916,brown,19,0.46,carrot_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1595,blue,20,0,banana_yellow,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2493,red,21,0,apple_green,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2134,blue,22,0.24,carrot_purple,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,3786,green,23,0.87,avocado_green,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1782,yellow,24,0,banana_blue,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2150,red,25,0.76,apple_red,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1672,orange,26,0,banana_brown,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,64890,brown,27,0.11,carrot_purple,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1766,green,28,0,pear_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,2218,red,29,0.23,carrot_orange,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
0,1540,yellow,30,0,carrot_brown,English,2,Male,33,,Yes,3,Windows,1080,1920,Chrome,37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3R0JXV1AUF9ATFG7YDTJIECMEI9OFH,Language study,A 5-minute study where you rate colors.,language experiment study communication stanford fun cognitive science,$1.00,Tue Oct 24 08:56:25 PDT 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 23 07:56:25 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=37MQ8Z1JQDVIX8ZENDITG6N86R3Y25,3WJ1OXY92AFV9P1UDQIGBVETKKT8AT,0,Submitted,Wed Oct 25 01:41:37 PDT 2017,Tue Oct 24 08:56:31 PDT 2017,Tue Oct 24 09:01:37 PDT 2017,,,,,,{},4.665183333333333,[]
