workerid,rt,object,utterance,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,5133,apple_red,green avocado,0.26,2,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,1499,carrot_brown,brown carrot,0.29,3,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2050,tomato_red,red tomato,0.76,4,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2148,apple_red,blue apple,0.2,5,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2402,banana_blue,blue banana,0.91,6,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2214,tomato_pink,pink tomato,0.12,7,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,1984,banana_brown,blue banana,0.14,8,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2648,pear_orange,orange pepper,0.1,9,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,1661,avocado_red,red tomato,0.16,10,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
0,2596,pepper_red,orange pepper,0.42,11,english ,2,Male,21,,Yes,4,Linux,768,1366,Firefox,3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3VMQHMXNFUGPH5XH486SO3VVRCLRP3,Language study,A 10-minute study where you rate the typicality of objects.,language experiment study communication stanford fun cognitive science,$1.00,Fri Jan 20 09:25:49 PST 2017,10,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Feb 19 09:25:49 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UZUVSO3P6UAY7MGXUPJOC9QIHJMER,3ATPCQ38J89AOVSCQUGAA82UH23YAC,0,Submitted,Sat Jan 21 02:13:37 PST 2017,Fri Jan 20 09:29:47 PST 2017,Fri Jan 20 09:33:37 PST 2017,,,,,,[],{},3.184466666666667
