gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8691-9,1455301279590,1,subSuperTrial,basic12,husky,target,4,2,dog,animal,greyhound,distractor,2,3,dog,animal,snake,distractor,3,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301289502,2,subSuperTrial,basic12,swordFish,target,4,2,fish,animal,pig,distractor,2,3,NA,animal,discusFish,distractor,3,4,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301297825,3,subSuperTrial,basic12,hawaiiShirt,target,2,4,shirt,clothing,dress,distractor,4,3,NA,clothing,campShirt,distractor,3,2,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301307975,4,colorSizeTrial,size43,big_black_avocado,target,4,2,NA,NA,small_black_avocado,distractor,2,5,NA,NA,small_green_avocado,distractor,3,4,NA,NA,small_black_avocado,distractor,1,1,NA,NA,small_black_avocado,distractor,5,3,NA,NA
8691-9,1455301314650,5,subSuperTrial,basic12,catfish,target,3,3,fish,animal,discusFish,distractor,2,4,fish,animal,kitten,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301328225,6,colorSizeTrial,size44,small_white_phone,target,5,4,NA,NA,big_white_phone,distractor,2,3,NA,NA,big_white_phone,distractor,4,1,NA,NA,big_white_phone,distractor,1,2,NA,NA,big_white_phone,distractor,3,5,NA,NA
8691-9,1455301334627,7,subSuperTrial,basic12,skittles,target,4,2,candy,snack,chips,distractor,3,4,NA,snack,candyCorn,distractor,2,3,candy,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301339719,8,colorSizeTrial,color32,big_green_chair,target,3,4,NA,NA,big_red_chair,distractor,2,1,NA,NA,big_red_chair,distractor,1,2,NA,NA,small_red_chair,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301347825,9,colorSizeTrial,size31,big_purple_coathanger,target,4,2,NA,NA,small_orange_coathanger,distractor,3,3,NA,NA,small_purple_coathanger,distractor,1,1,NA,NA,small_orange_coathanger,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301354682,10,subSuperTrial,basic33,tulip,target,3,3,flower,plant,popcorn,distractor,4,2,NA,snack,pig,distractor,2,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301360665,11,subSuperTrial,basic22,gummyBears,target,3,3,candy,snack,pretzels,distractor,2,4,NA,snack,popcorn,distractor,4,2,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301370971,12,subSuperTrial,basic12,sideTable,distractor,2,4,table,furniture,coffeeTable,target,3,3,table,furniture,wardrobe,distractor,4,2,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301377885,13,colorSizeTrial,size33,small_brown_turtle,target,1,3,NA,NA,big_brown_turtle,distractor,4,4,NA,NA,big_brown_turtle,distractor,2,1,NA,NA,big_brown_turtle,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301387165,14,subSuperTrial,basic33,minivan,target,4,4,car,vehicle,wardrobe,distractor,2,2,NA,furniture,bathrobe,distractor,3,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301397669,15,colorSizeTrial,size21,small_red_yarn,target,4,4,NA,NA,big_red_yarn,distractor,3,3,NA,NA,big_purple_yarn,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301404789,16,subSuperTrial,basic23,hummingBird,target,3,3,bird,animal,gloves,distractor,2,4,NA,clothing,pig,distractor,4,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8691-9,1455301411497,17,colorSizeTrial,size22,small_red_bike,target,2,2,NA,NA,big_red_bike,distractor,4,4,NA,NA,big_red_bike,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
