gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
7960-f,1455303799701,1,colorSizeTrial,color22,small_pink_balloon,target,4,2,NA,NA,small_yellow_balloon,distractor,3,4,NA,NA,small_yellow_balloon,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303810428,2,subSuperTrial,basic12,gummyBears,target,2,3,candy,snack,cookies,distractor,4,2,NA,snack,candyCorn,distractor,3,4,candy,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303823412,3,subSuperTrial,basic12,bedsideTable,target,4,2,table,furniture,lamp,distractor,2,3,NA,furniture,sideTable,distractor,3,4,table,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303845872,4,subSuperTrial,basic33,pandaBear,target,2,2,bear,animal,bookcase,distractor,3,4,NA,furniture,popcorn,distractor,4,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303852709,5,subSuperTrial,basic23,sunflower,target,3,3,flower,plant,rabbit,distractor,2,4,NA,animal,rosemary,distractor,4,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303866942,6,colorSizeTrial,size41,small_blue_cap,target,3,4,NA,NA,big_orange_cap,distractor,2,1,NA,NA,big_orange_cap,distractor,1,3,NA,NA,big_orange_cap,distractor,4,2,NA,NA,big_blue_cap,distractor,5,5,NA,NA
7960-f,1455303886041,7,subSuperTrial,basic22,tShirt,target,3,3,shirt,clothing,socks,distractor,2,4,NA,clothing,dress,distractor,4,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303896964,8,subSuperTrial,basic12,polarBear,target,2,2,bear,animal,koalaBear,distractor,4,3,bear,animal,rhino,distractor,3,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303910720,9,subSuperTrial,basic33,skittles,target,4,2,candy,snack,kitten,distractor,3,4,NA,animal,grasses,distractor,2,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7960-f,1455303919990,10,subSuperTrial,basic22,diningTable,target,2,2,table,furniture,bookcase,distractor,3,4,NA,furniture,lamp,distractor,4,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
