gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
6625-1,1455305707295,1,subSuperTrial,basic33,sunflower,target,3,4,flower,plant,sheep,distractor,4,3,NA,animal,gloves,distractor,2,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305720046,2,subSuperTrial,basic12,sportsCar,target,4,4,car,vehicle,sedan,distractor,3,3,car,vehicle,firetruck,distractor,2,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305732516,3,colorSizeTrial,color21,big_pink_golfball,target,2,2,NA,NA,small_blue_golfball,distractor,4,3,NA,NA,big_blue_golfball,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305742018,4,subSuperTrial,basic12,germanShepherd,target,2,3,dog,animal,iguana,distractor,3,2,NA,animal,greyhound,distractor,4,4,dog,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305750049,5,subSuperTrial,basic22,jellyBeans,target,4,3,candy,snack,popcorn,distractor,2,2,NA,snack,cookies,distractor,3,4,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305759354,6,colorSizeTrial,color21,big_pink_framee,target,3,3,NA,NA,small_green_framee,distractor,2,4,NA,NA,big_green_framee,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305768764,7,subSuperTrial,basic23,grizzlyBear,target,3,2,bear,animal,pig,distractor,4,4,NA,animal,cookies,distractor,2,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305776977,8,subSuperTrial,basic33,daisy,target,3,2,flower,plant,train,distractor,4,4,NA,vehicle,pig,distractor,2,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305785390,9,subSuperTrial,basic33,mnMs,target,3,2,candy,snack,gloves,distractor,2,4,NA,clothing,rabbit,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305797904,10,colorSizeTrial,size32,small_brown_turtle,target,2,1,NA,NA,big_black_turtle,distractor,4,4,NA,NA,big_brown_turtle,distractor,1,2,NA,NA,big_brown_turtle,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305808295,11,subSuperTrial,basic22,gummyBears,target,2,4,candy,snack,cookies,distractor,3,2,NA,snack,chips,distractor,4,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305816162,12,subSuperTrial,basic33,picnicTable,target,3,2,table,furniture,cow,distractor,4,3,NA,animal,ivy,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305829649,13,subSuperTrial,basic12,catfish,target,3,4,fish,animal,lion,distractor,4,2,NA,animal,discusFish,distractor,2,3,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305839660,14,subSuperTrial,basic22,skittles,target,2,2,candy,snack,chips,distractor,4,4,NA,snack,cookies,distractor,3,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305848724,15,colorSizeTrial,size33,small_red_bike,target,2,4,NA,NA,big_red_bike,distractor,1,1,NA,NA,big_red_bike,distractor,3,3,NA,NA,big_red_bike,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305856677,16,subSuperTrial,basic22,swordFish,target,4,3,fish,animal,sheep,distractor,2,2,NA,animal,rabbit,distractor,3,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
6625-1,1455305872019,17,colorSizeTrial,color41,big_pink_hairdryer,target,3,4,NA,NA,small_purple_hairdryer,distractor,5,3,NA,NA,small_purple_hairdryer,distractor,1,2,NA,NA,big_purple_hairdryer,distractor,4,1,NA,NA,small_purple_hairdryer,distractor,2,5,NA,NA
