gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
3841-5,1479921600594,1,avocado,informative-cc,avocado_black,target,4,2,distractor_avocado_black,distractor,3,4,avocado_red,distractor,2,3
3841-5,1479921639214,2,carrot,informative-cc,carrot_pink,target,3,3,distractor_carrot_pink,distractor,2,2,carrot_brown,distractor,4,4
3841-5,1479921677624,3,tomato,informative-cc,tomato_pink,target,2,2,distractor_tomato_pink,distractor,3,3,tomato_green,distractor,4,4
3841-5,1479921704374,4,tomato,overinformative,tomato_pink,target,3,3,pepper_orange,distractor,4,2,banana_blue,distractor,2,4
3841-5,1479921754076,5,pear,informative-cc,pear_green,target,2,4,distractor_pear_green,distractor,4,2,pear_orange,distractor,3,3
3841-5,1479921795826,6,tomato,informative-cc,distractor_tomato_green,distractor,2,3,tomato_green,target,4,4,tomato_red,distractor,3,2
3841-5,1479921823118,7,banana,informative-cc,banana_yellow,target,4,3,banana_brown,distractor,3,2,distractor_banana_yellow,distractor,2,4
3841-5,1479921850581,8,carrot,overinformative-cc,carrot_orange,target,4,3,avocado_black,distractor,3,2,distractor_carrot_orange,distractor,2,4
3841-5,1479921868660,9,pepper,overinformative,pepper_red,target,3,3,carrot_pink,distractor,4,4,carrot_orange,distractor,2,2
3841-5,1479921877500,10,banana,overinformative,banana_blue,target,4,2,carrot_pink,distractor,2,3,avocado_green,distractor,3,4
3841-5,1479921901689,11,pepper,overinformative-cc,pepper_orange,target,2,3,banana_blue,distractor,3,2,distractor_pepper_orange,distractor,4,4
3841-5,1479921932970,12,avocado,informative-cc,avocado_red,target,4,3,avocado_green,distractor,2,2,distractor_avocado_red,distractor,3,4
3841-5,1479921956551,13,apple,informative-cc,distractor_apple_blue,distractor,3,3,apple_blue,target,2,4,apple_red,distractor,4,2
3841-5,1479921993862,14,banana,overinformative-cc,banana_yellow,target,2,3,pepper_red,distractor,3,4,distractor_banana_yellow,distractor,4,2
3841-5,1479922008312,15,pear,overinformative,pear_orange,target,3,2,carrot_brown,distractor,2,4,tomato_green,distractor,4,3
3841-5,1479922028061,16,carrot,informative,carrot_orange,target,2,3,carrot_brown,distractor,4,2,banana_blue,distractor,3,4
3841-5,1479922077897,17,apple,overinformative-cc,distractor_apple_green,distractor,2,2,tomato_red,distractor,3,4,apple_green,target,4,3
3841-5,1479922098621,18,banana,informative,banana_brown,target,3,3,banana_blue,distractor,4,4,tomato_red,distractor,2,2
3841-5,1479922120647,19,tomato,overinformative,tomato_green,target,4,2,avocado_red,distractor,2,3,pepper_black,distractor,3,4
3841-5,1479922151265,20,banana,informative-cc,banana_blue,target,2,3,banana_yellow,distractor,4,2,distractor_banana_blue,distractor,3,4
3841-5,1479922172236,21,carrot,informative,carrot_pink,target,4,3,carrot_brown,distractor,3,4,avocado_red,distractor,2,2
3841-5,1479922198436,22,apple,informative-cc,apple_green,target,2,2,distractor_apple_green,distractor,4,3,apple_blue,distractor,3,4
3841-5,1479922228888,23,pepper,informative,pepper_black,target,4,4,apple_green,distractor,3,2,pepper_orange,distractor,2,3
3841-5,1479922293681,24,pepper,informative-cc,pepper_black,target,4,4,distractor_pepper_black,distractor,3,3,pepper_red,distractor,2,2
3841-5,1479922353972,25,carrot,informative,pepper_black,distractor,4,2,carrot_orange,distractor,2,4,carrot_brown,target,3,3
3841-5,1479922365206,26,pear,overinformative,pear_yellow,target,2,4,carrot_orange,distractor,4,2,apple_green,distractor,3,3
3841-5,1479922400767,27,avocado,overinformative-cc,avocado_black,target,4,3,pepper_orange,distractor,3,2,distractor_avocado_black,distractor,2,4
3841-5,1479922430770,28,pear,informative-cc,pear_yellow,target,4,3,pear_green,distractor,3,2,distractor_pear_yellow,distractor,2,4
3841-5,1479922457384,29,avocado,overinformative-cc,avocado_green,target,4,4,banana_blue,distractor,2,2,distractor_avocado_green,distractor,3,3
3841-5,1479922530441,30,apple,overinformative,apple_red,target,2,4,pepper_black,distractor,4,2,tomato_green,distractor,3,3
3841-5,1479922571354,31,pepper,informative-cc,pepper_orange,target,2,2,pepper_black,distractor,4,4,distractor_pepper_orange,distractor,3,3
3841-5,1479922638702,32,tomato,informative,tomato_red,target,2,3,apple_green,distractor,3,4,tomato_green,distractor,4,2
3841-5,1479922687993,33,carrot,overinformative,apple_blue,distractor,2,3,carrot_brown,target,4,4,pepper_red,distractor,3,2
3841-5,1479922710153,34,apple,overinformative-cc,apple_red,target,2,4,distractor_apple_red,distractor,4,3,pepper_black,distractor,3,2
3841-5,1479922753000,35,tomato,informative-cc,tomato_red,target,2,4,tomato_pink,distractor,3,2,distractor_tomato_red,distractor,4,3
3841-5,1479922794608,36,avocado,overinformative,avocado_red,target,3,3,pepper_orange,distractor,2,2,carrot_brown,distractor,4,4
3841-5,1479922833437,37,pepper,overinformative-cc,distractor_pepper_red,distractor,4,2,pepper_red,target,3,4,tomato_pink,distractor,2,3
3841-5,1479922853299,38,pear,informative-cc,pear_orange,target,4,2,pear_yellow,distractor,2,3,distractor_pear_orange,distractor,3,4
3841-5,1479922904554,39,pear,overinformative,pear_green,target,4,2,avocado_black,distractor,2,3,avocado_red,distractor,3,4
3841-5,1479922962737,40,banana,overinformative-cc,banana_brown,target,3,4,distractor_banana_brown,distractor,2,2,pear_green,distractor,4,3
3841-5,1479922982749,41,apple,informative,apple_blue,target,4,3,avocado_green,distractor,2,2,apple_red,distractor,3,4
3841-5,1479923049422,42,avocado,informative-cc,avocado_green,target,2,3,avocado_black,distractor,4,2,distractor_avocado_green,distractor,3,4
