gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
6753-d,1479922467971,1,tomato,overinformative-cc,tomato_pink,target,2,4,apple_green,distractor,4,2,distractor_tomato_pink,distractor,3,3
6753-d,1479922475031,2,tomato,overinformative,tomato_red,target,3,2,avocado_green,distractor,2,4,apple_green,distractor,4,3
6753-d,1479922485539,3,pear,informative,pear_green,target,4,3,banana_brown,distractor,2,4,pear_yellow,distractor,3,2
6753-d,1479922493727,4,pepper,informative,pepper_orange,target,3,3,pepper_red,distractor,4,2,avocado_green,distractor,2,4
6753-d,1479922499386,5,pear,overinformative-cc,pear_green,target,3,2,distractor_pear_green,distractor,2,4,banana_yellow,distractor,4,3
6753-d,1479922505815,6,avocado,informative-cc,avocado_black,target,3,4,distractor_avocado_black,distractor,4,3,avocado_red,distractor,2,2
6753-d,1479922510672,7,apple,overinformative-cc,apple_green,target,3,4,avocado_black,distractor,4,3,distractor_apple_green,distractor,2,2
6753-d,1479922516298,8,banana,overinformative-cc,banana_blue,target,3,4,distractor_banana_blue,distractor,2,2,carrot_orange,distractor,4,3
6753-d,1479922520618,9,carrot,overinformative-cc,carrot_orange,target,2,3,pepper_red,distractor,4,2,distractor_carrot_orange,distractor,3,4
6753-d,1479922525468,10,pepper,overinformative,pepper_red,target,3,3,apple_blue,distractor,2,4,banana_blue,distractor,4,2
6753-d,1479922530580,11,banana,overinformative-cc,banana_brown,target,4,3,distractor_banana_brown,distractor,2,2,carrot_pink,distractor,3,4
6753-d,1479922535677,12,apple,overinformative,apple_red,target,4,2,pear_orange,distractor,3,4,pear_yellow,distractor,2,3
6753-d,1479922542148,13,tomato,informative,tomato_green,target,4,3,banana_yellow,distractor,3,2,tomato_pink,distractor,2,4
6753-d,1479922547287,14,tomato,informative-cc,tomato_red,target,3,2,tomato_pink,distractor,2,4,distractor_tomato_red,distractor,4,3
6753-d,1479922552452,15,apple,informative,apple_green,target,4,4,pepper_black,distractor,2,3,apple_red,distractor,3,2
6753-d,1479922559193,16,avocado,overinformative,avocado_red,target,3,3,banana_yellow,distractor,2,4,pear_yellow,distractor,4,2
6753-d,1479922564530,17,pepper,informative,pepper_red,target,3,2,avocado_green,distractor,4,4,pepper_black,distractor,2,3
6753-d,1479922574625,18,avocado,informative-cc,avocado_green,target,2,3,distractor_avocado_green,distractor,3,2,avocado_black,distractor,4,4
6753-d,1479922581044,19,pear,informative-cc,pear_orange,target,3,3,pear_yellow,distractor,2,4,distractor_pear_orange,distractor,4,2
6753-d,1479922587951,20,pepper,informative-cc,pepper_orange,target,2,2,pepper_black,distractor,4,3,distractor_pepper_orange,distractor,3,4
6753-d,1479922593246,21,carrot,overinformative-cc,carrot_pink,target,4,3,distractor_carrot_pink,distractor,3,4,tomato_green,distractor,2,2
6753-d,1479922600285,22,carrot,overinformative,carrot_brown,target,3,4,pear_orange,distractor,4,3,apple_green,distractor,2,2
