gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
9959-2,1479924604665,1,banana,informative,banana_blue,target,4,2,banana_yellow,distractor,3,3,pepper_red,distractor,2,4
9959-2,1479924612828,2,apple,overinformative-cc,apple_red,target,3,4,banana_brown,distractor,4,3,distractor_apple_red,distractor,2,2
9959-2,1479924617824,3,banana,informative-cc,banana_blue,target,2,2,distractor_banana_blue,distractor,4,3,banana_yellow,distractor,3,4
9959-2,1479924625192,4,carrot,overinformative-cc,carrot_pink,target,2,4,distractor_carrot_pink,distractor,3,2,avocado_red,distractor,4,3
9959-2,1479924631199,5,tomato,overinformative-cc,tomato_pink,target,3,3,banana_yellow,distractor,4,2,distractor_tomato_pink,distractor,2,4
9959-2,1479924640224,6,tomato,informative,tomato_green,target,2,4,avocado_red,distractor,4,3,tomato_red,distractor,3,2
9959-2,1479924647089,7,pear,informative,pear_orange,target,4,4,pear_green,distractor,3,3,carrot_brown,distractor,2,2
9959-2,1479924654195,8,pear,overinformative-cc,pear_orange,target,2,2,apple_green,distractor,4,4,distractor_pear_orange,distractor,3,3
9959-2,1479924661016,9,avocado,informative,avocado_black,target,2,2,avocado_red,distractor,4,4,carrot_orange,distractor,3,3
9959-2,1479924666265,10,apple,overinformative,apple_blue,target,3,4,banana_yellow,distractor,4,3,pear_yellow,distractor,2,2
9959-2,1479924672501,11,avocado,overinformative-cc,avocado_green,target,3,3,banana_blue,distractor,2,4,distractor_avocado_green,distractor,4,2
9959-2,1479924678121,12,pepper,informative,pepper_black,target,4,4,pear_yellow,distractor,2,2,pepper_red,distractor,3,3
9959-2,1479924684512,13,pear,informative-cc,pear_yellow,target,4,4,distractor_pear_yellow,distractor,2,2,pear_orange,distractor,3,3
9959-2,1479924689061,14,apple,informative,apple_blue,target,4,4,apple_green,distractor,2,3,pear_yellow,distractor,3,2
9959-2,1479924697143,15,pear,informative,pear_green,target,4,3,apple_red,distractor,2,2,pear_orange,distractor,3,4
9959-2,1479924702466,16,carrot,informative,carrot_orange,target,2,3,banana_yellow,distractor,4,2,carrot_brown,distractor,3,4
9959-2,1479924708259,17,avocado,overinformative-cc,avocado_black,target,2,4,carrot_brown,distractor,4,3,distractor_avocado_black,distractor,3,2
9959-2,1479924714257,18,avocado,overinformative-cc,avocado_red,target,4,4,distractor_avocado_red,distractor,2,3,tomato_pink,distractor,3,2
9959-2,1479924719385,19,apple,informative,apple_red,target,4,2,apple_blue,distractor,2,3,banana_yellow,distractor,3,4
9959-2,1479924726529,20,pepper,informative-cc,pepper_red,target,2,4,distractor_pepper_red,distractor,4,3,pepper_black,distractor,3,2
9959-2,1479924732638,21,tomato,overinformative-cc,tomato_red,target,2,4,pepper_orange,distractor,4,3,distractor_tomato_red,distractor,3,2
9959-2,1479924740975,22,pepper,overinformative-cc,pepper_orange,target,4,3,tomato_green,distractor,2,2,distractor_pepper_orange,distractor,3,4
9959-2,1479924746715,23,avocado,overinformative,avocado_red,target,3,4,pepper_black,distractor,2,2,carrot_orange,distractor,4,3
9959-2,1479924753723,24,avocado,overinformative,avocado_green,target,2,3,pepper_red,distractor,4,2,carrot_orange,distractor,3,4
9959-2,1479924759665,25,tomato,overinformative,tomato_green,target,4,2,banana_yellow,distractor,3,4,carrot_pink,distractor,2,3
9959-2,1479924764259,26,banana,overinformative,banana_yellow,target,3,2,apple_blue,distractor,4,4,pepper_orange,distractor,2,3
9959-2,1479924769809,27,apple,overinformative-cc,apple_green,target,3,2,avocado_red,distractor,4,4,distractor_apple_green,distractor,2,3
9959-2,1479924775363,28,pepper,informative,pepper_orange,target,4,3,pepper_black,distractor,3,2,apple_blue,distractor,2,4
9959-2,1479924779764,29,pear,overinformative-cc,pear_green,target,3,2,tomato_pink,distractor,4,4,distractor_pear_green,distractor,2,3
9959-2,1479924786126,30,carrot,overinformative-cc,carrot_brown,target,4,3,distractor_carrot_brown,distractor,2,4,apple_green,distractor,3,2
9959-2,1479924792114,31,banana,overinformative,banana_brown,target,4,3,pepper_orange,distractor,2,2,avocado_green,distractor,3,4
9959-2,1479924797779,32,carrot,informative,carrot_pink,target,3,2,avocado_black,distractor,2,4,carrot_orange,distractor,4,3
9959-2,1479924803437,33,tomato,informative-cc,tomato_pink,target,2,2,distractor_tomato_pink,distractor,4,4,tomato_red,distractor,3,3
9959-2,1479924808179,34,pear,overinformative,pear_yellow,target,3,4,avocado_black,distractor,2,3,apple_red,distractor,4,2
9959-2,1479924813144,35,pepper,overinformative-cc,pepper_red,target,4,3,pear_green,distractor,3,2,distractor_pepper_red,distractor,2,4
9959-2,1479924817679,36,apple,informative-cc,apple_green,target,2,2,distractor_apple_green,distractor,3,4,apple_red,distractor,4,3
9959-2,1479924823259,37,banana,overinformative-cc,banana_brown,target,4,4,distractor_banana_brown,distractor,3,3,pepper_black,distractor,2,2
9959-2,1479924827585,38,banana,overinformative-cc,banana_yellow,target,2,2,avocado_red,distractor,3,4,distractor_banana_yellow,distractor,4,3
9959-2,1479924833992,39,carrot,informative,carrot_brown,target,2,3,apple_red,distractor,4,4,carrot_pink,distractor,3,2
9959-2,1479924838745,40,tomato,overinformative,tomato_red,target,3,2,pear_orange,distractor,4,3,pear_green,distractor,2,4
9959-2,1479924845363,41,pepper,informative-cc,pepper_black,target,4,2,distractor_pepper_black,distractor,2,3,pepper_orange,distractor,3,4
9959-2,1479924850127,42,carrot,overinformative-cc,carrot_orange,target,4,3,distractor_carrot_orange,distractor,2,2,apple_blue,distractor,3,4
