gameid,time,roundNum,sender,contents
8931-5,1479925310838,1,listener,"hello?"
8931-5,1479925318975,1,speaker,"The target is orange and has a stem."
8931-5,1479925334043,2,speaker,"The target is red and has a stem."
8931-5,1479925347081,3,speaker,"The target is grey and green."
8931-5,1479925358820,4,speaker,"The target is grey."
8931-5,1479925370405,5,speaker,"The target is yellow."
8931-5,1479925398349,5,listener,"btw you don't have to write out target every time.~~~~~~~~~just a suggestion for time purposes, no offense intended"
8931-5,1479925419739,6,speaker,"OK. Red and green stem"
8931-5,1479925433510,7,speaker,"Green with a stem"
8931-5,1479925442465,8,speaker,"Purple"
8931-5,1479925450233,9,speaker,"Orange with stem."
8931-5,1479925463109,9,listener,"pear?"
8931-5,1479925470228,10,speaker,"Black"
8931-5,1479925478876,11,speaker,"Purple"
8931-5,1479925487230,12,speaker,"Blue and round."
8931-5,1479925494027,13,speaker,"Green and round"
8931-5,1479925501615,14,speaker,"Black, no stem"
8931-5,1479925510903,15,speaker,"Black and green stem."
8931-5,1479925521420,16,speaker,"Orange and green stem."
8931-5,1479925528397,17,speaker,"Blue"
8931-5,1479925535562,18,speaker,"Orange green stem."
8931-5,1479925544997,19,speaker,"Red and no green."
8931-5,1479925552063,20,speaker,"Orange and green"
8931-5,1479925558537,21,speaker,"Yellow"
8931-5,1479925565486,22,speaker,"Black and green"
8931-5,1479925574011,23,speaker,"Yellow and stem"
8931-5,1479925580649,24,speaker,"Green"
8931-5,1479925586782,25,speaker,"Green "
8931-5,1479925594558,26,speaker,"Grey and green"
8931-5,1479925613957,27,listener,"is it the tomato?"
8931-5,1479925620156,27,speaker,"the other green"
8931-5,1479925629757,28,speaker,"green and stem"
8931-5,1479925635515,28,speaker,"not round"
8931-5,1479925636514,28,listener,"pear or apple?"
8931-5,1479925640270,29,speaker,"blue"
8931-5,1479925646605,30,speaker,"red and big"
8931-5,1479925652848,30,listener,"apple?"
8931-5,1479925654829,30,speaker,"apple"
8931-5,1479925662762,31,speaker,"purple and long"
8931-5,1479925668189,32,speaker,"black"
8931-5,1479925675121,32,listener,"avocado or pepper?"
8931-5,1479925678119,32,speaker,"avocado"
8931-5,1479925686969,33,speaker,"carrot"
8931-5,1479925695995,34,speaker,"yellow pear"
8931-5,1479925706386,35,speaker,"purple and round"
8931-5,1479925712938,36,speaker,"banana"
8931-5,1479925720691,37,speaker,"avocado"
8931-5,1479925726289,38,speaker,"tomato"
8931-5,1479925736712,39,speaker,"avocado"
8931-5,1479925742751,40,speaker,"red tomato"
8931-5,1479925747264,41,speaker,"blue"
8931-5,1479925752689,42,speaker,"tomato"
