gameid,time,roundNum,sender,contents
4624-5,1479924027393,1,speaker,"the yellow fruit"
4624-5,1479924040964,2,speaker,"it has a green stem"
4624-5,1479924063615,3,speaker,"you make guacamole with it"
4624-5,1479924079209,4,speaker,"it grows on a tree"
4624-5,1479924086956,5,speaker,"it's red"
4624-5,1479924094234,6,speaker,"it's orange"
4624-5,1479924111183,7,speaker,"it's blue and you can make cider from it"
4624-5,1479924121114,8,speaker,"it grows underground"
4624-5,1479924130804,9,speaker,"it's brown and grows underground"
4624-5,1479924139034,10,speaker,"it's green"
4624-5,1479924147154,11,speaker,"it's black"
4624-5,1479924154135,12,speaker,"it's brown "
4624-5,1479924159790,13,speaker,"it's blue"
4624-5,1479924164696,14,speaker,"it's purple"
4624-5,1479924171731,15,speaker,"it's red and grows on a tree"
4624-5,1479924177570,16,speaker,"it's black"
4624-5,1479924188006,17,speaker,"it grows on a tree and is yellow"
4624-5,1479924194073,18,speaker,"it's yellow"
4624-5,1479924198519,19,speaker,"it's orange"
4624-5,1479924203686,20,speaker,"it's brown"
4624-5,1479924241123,21,speaker,"it's green and more narrow on top than the bottom"
4624-5,1479924254047,22,speaker,"it's red with a taller green stem"
4624-5,1479924266171,23,speaker,"it's green and grows on a tree"
4624-5,1479924284933,24,speaker,"it's red"
4624-5,1479924290059,25,speaker,"it's blue"
4624-5,1479924297984,26,speaker,"it's green with a green stem"
4624-5,1479924314910,27,speaker,"it's yellow with a brown stem and is narrow on top"
4624-5,1479924327399,28,speaker,"it's black"
4624-5,1479924339210,29,speaker,"it's purple and round"
4624-5,1479924351044,30,speaker,"it's brown and you can make guacamole with it"
4624-5,1479924362003,31,speaker,"it's red and very round"
4624-5,1479924378075,32,speaker,"it's green with a green stem and is very round"
4624-5,1479924389388,33,speaker,"it's orange and grows underground"
4624-5,1479924400291,34,speaker,"it's orange"
4624-5,1479924415667,35,speaker,"it's green and grows on a fruit tree"
4624-5,1479924426358,36,speaker,"it's green and narrow on top"
4624-5,1479924431196,37,speaker,"it's red"
4624-5,1479924441041,38,speaker,"it's brown and curved"
4624-5,1479924452736,39,speaker,"it's blue with a small brown stem"
4624-5,1479924463463,40,speaker,"it's reddish/brown"
4624-5,1479924473367,41,speaker,"it's orange with a tall green stem"
4624-5,1479924482415,42,speaker,"it's purple and grows underground"
4624-5,1479924484416,42,listener,"very nice job"
