gameid,time,roundNum,sender,contents
1110-0,1479925866792,1,listener,"Yes?"
1110-0,1479925884225,1,speaker,"to my eye, it's the brighter, greener pear"
1110-0,1479925892177,2,speaker,"yellow banana"
1110-0,1479925892286,2,listener,"Round 2"
1110-0,1479925902843,3,speaker,"red tomato"
1110-0,1479925925415,4,speaker,"not the apple, not the carrot, that weird looking one"
1110-0,1479925935716,5,speaker,"purple tomato"
1110-0,1479925960767,6,speaker,"i think that's an avocado"
1110-0,1479925967921,7,speaker,"pear"
1110-0,1479925975075,8,speaker,"carrot"
1110-0,1479925982405,9,speaker,"banana"
1110-0,1479925993245,10,listener,"You're getting better!"
1110-0,1479925997156,10,speaker,"banana"
1110-0,1479926005506,11,speaker,"red tomato"
1110-0,1479926036431,11,listener,"Use one letter to go faster. A = apple, b = banana, t = tomato; AVA = avacado?"
1110-0,1479926048050,12,listener,"Or just put the color"
1110-0,1479926056700,12,speaker,"carrot"
1110-0,1479926064386,13,speaker,"green tomato"
1110-0,1479926070668,14,speaker,"purple carrot"
1110-0,1479926075650,15,speaker,"pear"
1110-0,1479926082248,16,speaker,"black"
1110-0,1479926088552,17,speaker,"blue"
1110-0,1479926089074,17,listener,"Nice!"
1110-0,1479926093738,18,speaker,"banana"
1110-0,1479926100945,19,speaker,"black pepper"
1110-0,1479926108920,20,speaker,"red apple"
1110-0,1479926113748,21,speaker,"purple"
1110-0,1479926118543,22,speaker,"red"
1110-0,1479926127290,23,speaker,"avocado"
1110-0,1479926134403,24,speaker,"avocado"
1110-0,1479926139017,25,speaker,"pepper"
1110-0,1479926145602,26,speaker,"red apple"
1110-0,1479926152224,27,speaker,"black carrot"
1110-0,1479926160584,28,speaker,"orange pear"
1110-0,1479926168435,29,speaker,"green pear"
1110-0,1479926176093,30,speaker,"blue apple"
1110-0,1479926183122,31,speaker,"green tomato"
1110-0,1479926189730,32,speaker,"tomato"
1110-0,1479926198043,33,speaker,"orange pear"
1110-0,1479926203485,34,speaker,"green"
1110-0,1479926209254,35,speaker,"banana"
1110-0,1479926213764,36,speaker,"apple"
1110-0,1479926219346,37,speaker,"black"
1110-0,1479926227792,38,speaker,"orange pepper"
1110-0,1479926232408,39,speaker,"carrot"
1110-0,1479926237220,40,speaker,"black"
1110-0,1479926241330,41,speaker,"blue"
1110-0,1479926246686,42,speaker,"pepper"
