FullItem,Utterance,Typicality,CI.low,CI.high,UtteranceType,UtteranceTrue,CatTypicality
blue apple,black,0.072,0.0365,0.121025,color-only,FALSE,atypical
blue apple,blue,0.904,0.870302083333333,0.934479166666667,color-only,TRUE,atypical
blue apple,brown,0.06,0.0250969387755102,0.107969387755102,color-only,FALSE,atypical
blue apple,green,0.106,0.0554642857142857,0.169529761904762,color-only,FALSE,atypical
blue apple,orange,0.057,0.0138461538461538,0.122711538461538,color-only,FALSE,atypical
blue apple,purple,0.124,0.04878,0.22882,color-only,FALSE,atypical
blue apple,red,0.07,0.0213953488372093,0.130011627906977,color-only,FALSE,atypical
blue apple,yellow,0.067,0.0140740740740741,0.14,color-only,FALSE,atypical
green apple,black,0.022,0.00909090909090909,0.0415151515151515,color-only,FALSE,other
green apple,blue,0.05,0.0118851351351351,0.111905405405405,color-only,FALSE,other
green apple,brown,0.081,0.0423858695652174,0.125657608695652,color-only,FALSE,other
green apple,green,0.795,0.757080729166667,0.829479166666667,color-only,TRUE,midtypical
green apple,orange,0.028,0.0111538461538462,0.0476923076923077,color-only,FALSE,other
green apple,purple,0.028,0.00966666666666667,0.0503416666666667,color-only,FALSE,other
green apple,red,0.068,0.026725,0.12479375,color-only,FALSE,other
green apple,yellow,0.172,0.121158333333333,0.2308375,color-only,FALSE,other
red apple,black,0.084,0.0458139534883721,0.128843023255814,color-only,FALSE,typical
red apple,blue,0.056,0.0213277777777778,0.102911111111111,color-only,FALSE,typical
red apple,brown,0.215,0.1469875,0.2827875,color-only,FALSE,typical
red apple,green,0.044,0.0221428571428571,0.0709583333333333,color-only,FALSE,typical
red apple,orange,0.088,0.0515637254901961,0.126671568627451,color-only,FALSE,typical
red apple,purple,0.139,0.0886041666666667,0.193895833333333,color-only,FALSE,typical
red apple,red,0.76,0.72375,0.794802083333333,color-only,TRUE,typical
red apple,yellow,0.011,0.004,0.02,color-only,FALSE,typical
black avocado,black,0.959,0.9337421875,0.980104166666667,color-only,TRUE,midtypical
black avocado,blue,0.075,0.040969512195122,0.11294512195122,color-only,FALSE,other
black avocado,brown,0.097,0.0435714285714286,0.158107142857143,color-only,FALSE,other
black avocado,green,0.046,0.0203571428571429,0.0792857142857143,color-only,FALSE,other
black avocado,orange,0.01,0.0035625,0.0182142857142857,color-only,FALSE,other
black avocado,purple,0.049,0.0213706896551724,0.083801724137931,color-only,FALSE,other
black avocado,red,0.086,0.03198125,0.1510625,color-only,FALSE,other
black avocado,yellow,0.045,0.0168888888888889,0.0802222222222222,color-only,FALSE,other
green avocado,black,0.106,0.0580691489361702,0.168755319148936,color-only,FALSE,typical
green avocado,blue,0.062,0.0319565217391304,0.0943478260869565,color-only,FALSE,typical
green avocado,brown,0.143,0.09225,0.20001875,color-only,FALSE,typical
green avocado,green,0.662,0.614479166666667,0.711989583333333,color-only,TRUE,typical
green avocado,orange,0.027,0.0111764705882353,0.0467720588235294,color-only,FALSE,typical
green avocado,purple,0.046,0.0209516129032258,0.0764596774193548,color-only,FALSE,typical
green avocado,red,0.018,0.00633333333333333,0.0326666666666667,color-only,FALSE,typical
green avocado,yellow,0.039,0.0183333333333333,0.0630083333333333,color-only,FALSE,typical
red avocado,black,0.096,0.0425645161290323,0.157104838709677,color-only,FALSE,atypical
red avocado,blue,0.064,0.0307692307692308,0.100269230769231,color-only,FALSE,atypical
red avocado,brown,0.341,0.265,0.416607954545455,color-only,FALSE,atypical
red avocado,green,0.066,0.0242307692307692,0.130461538461538,color-only,FALSE,atypical
red avocado,orange,0.093,0.05155,0.144472222222222,color-only,FALSE,atypical
red avocado,purple,0.219,0.150221590909091,0.291607954545455,color-only,FALSE,atypical
red avocado,red,0.509,0.459268229166667,0.558028645833333,color-only,TRUE,atypical
red avocado,yellow,0.031,0.0167441860465116,0.0472151162790698,color-only,FALSE,atypical
blue banana,black,0.042,0.0197297297297297,0.0665405405405405,color-only,FALSE,atypical
blue banana,blue,0.914,0.890205729166667,0.9345859375,color-only,TRUE,atypical
blue banana,brown,0.025,0.00452380952380952,0.0631011904761905,color-only,FALSE,atypical
blue banana,green,0.02,0.0107894736842105,0.0318486842105263,color-only,FALSE,atypical
blue banana,orange,0.085,0.0312121212121212,0.145787878787879,color-only,FALSE,atypical
blue banana,purple,0.061,0.0228951612903226,0.106451612903226,color-only,FALSE,atypical
blue banana,red,0.037,0.0037037037037037,0.0988981481481481,color-only,FALSE,atypical
blue banana,yellow,0.054,0.0205405405405405,0.0908175675675676,color-only,FALSE,atypical
brown banana,black,0.184,0.110901515151515,0.269128787878788,color-only,FALSE,other
