gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
7045-6,1479922144870,1,avocado,informative,avocado_green,target,3,4,avocado_red,distractor,2,2,banana_brown,distractor,4,3
7045-6,1479922160375,2,tomato,overinformative-cc,tomato_green,target,2,3,banana_blue,distractor,3,2,distractor_tomato_green,distractor,4,4
7045-6,1479922171546,3,banana,overinformative-cc,banana_blue,target,4,3,distractor_banana_blue,distractor,2,2,tomato_green,distractor,3,4
7045-6,1479922180184,4,pepper,informative,pepper_red,target,4,4,apple_green,distractor,2,2,pepper_orange,distractor,3,3
7045-6,1479922189678,5,banana,informative,banana_brown,target,4,3,banana_blue,distractor,2,4,pepper_red,distractor,3,2
7045-6,1479922195777,6,apple,overinformative,apple_red,target,4,4,avocado_black,distractor,2,3,pepper_black,distractor,3,2
7045-6,1479922204369,7,avocado,informative-cc,avocado_red,target,2,3,avocado_black,distractor,4,4,distractor_avocado_red,distractor,3,2
7045-6,1479922211193,8,apple,informative,apple_blue,target,4,3,banana_brown,distractor,3,4,apple_red,distractor,2,2
7045-6,1479922220264,9,pear,informative,pear_yellow,target,3,4,pear_green,distractor,4,2,carrot_brown,distractor,2,3
7045-6,1479922238751,10,banana,informative-cc,banana_yellow,target,3,3,distractor_banana_yellow,distractor,2,2,banana_brown,distractor,4,4
7045-6,1479922249895,11,pear,informative-cc,pear_yellow,target,2,2,pear_orange,distractor,3,4,distractor_pear_yellow,distractor,4,3
7045-6,1479922259943,12,pear,overinformative-cc,pear_orange,target,3,3,avocado_red,distractor,4,4,distractor_pear_orange,distractor,2,2
7045-6,1479922270640,13,tomato,overinformative-cc,tomato_pink,target,4,2,distractor_tomato_pink,distractor,2,4,pear_orange,distractor,3,3
7045-6,1479922280893,14,pepper,informative,pepper_black,target,3,3,pepper_red,distractor,2,2,tomato_green,distractor,4,4
7045-6,1479922288577,15,carrot,informative-cc,carrot_pink,target,4,4,distractor_carrot_pink,distractor,3,3,carrot_brown,distractor,2,2
7045-6,1479922295668,16,banana,overinformative,banana_yellow,target,2,3,apple_blue,distractor,3,4,tomato_pink,distractor,4,2
7045-6,1479922303993,17,tomato,overinformative,tomato_red,target,2,3,pear_yellow,distractor,4,2,banana_brown,distractor,3,4
7045-6,1479922310794,18,banana,informative-cc,banana_blue,target,4,3,banana_yellow,distractor,2,4,distractor_banana_blue,distractor,3,2
7045-6,1479922318325,19,pear,overinformative,pear_green,target,4,3,avocado_red,distractor,3,4,apple_red,distractor,2,2
7045-6,1479922330320,20,tomato,informative,tomato_red,target,3,4,tomato_pink,distractor,2,3,avocado_green,distractor,4,2
7045-6,1479922337968,21,avocado,overinformative,avocado_red,target,3,3,banana_blue,distractor,4,4,pear_orange,distractor,2,2
7045-6,1479922345753,22,apple,overinformative,apple_green,target,4,4,banana_brown,distractor,2,2,pear_orange,distractor,3,3
7045-6,1479922354030,23,pear,informative,pear_orange,target,3,4,apple_red,distractor,4,2,pear_yellow,distractor,2,3
