gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
4924-4,1479923937521,1,apple,overinformative,carrot_orange,distractor,3,4,avocado_black,distractor,4,2,apple_blue,target,2,3
4924-4,1479923948834,2,banana,overinformative,banana_yellow,target,3,4,carrot_brown,distractor,4,3,apple_green,distractor,2,2
4924-4,1479923964707,3,avocado,overinformative-cc,avocado_black,target,3,4,carrot_brown,distractor,4,2,distractor_avocado_black,distractor,2,3
4924-4,1479923984880,4,pear,informative,pear_yellow,target,4,2,pear_green,distractor,3,4,tomato_pink,distractor,2,3
4924-4,1479924031317,5,pear,informative-cc,pear_orange,target,2,4,distractor_pear_orange,distractor,3,3,pear_green,distractor,4,2
4924-4,1479924054040,6,pear,informative-cc,pear_green,target,2,3,distractor_pear_green,distractor,4,2,pear_yellow,distractor,3,4
4924-4,1479924074395,7,carrot,informative,carrot_brown,target,3,3,banana_blue,distractor,2,4,carrot_pink,distractor,4,2
4924-4,1479924084959,8,apple,overinformative,apple_red,target,3,3,banana_yellow,distractor,2,4,avocado_green,distractor,4,2
4924-4,1479924097090,9,pear,overinformative-cc,pear_orange,target,2,3,distractor_pear_orange,distractor,4,4,avocado_black,distractor,3,2
4924-4,1479924105461,10,banana,overinformative,banana_blue,target,4,3,apple_red,distractor,2,2,apple_green,distractor,3,4
4924-4,1479924131070,11,banana,informative-cc,banana_brown,target,4,4,banana_yellow,distractor,3,2,distractor_banana_brown,distractor,2,3
4924-4,1479924142841,12,pepper,informative,pepper_red,target,4,3,pepper_orange,distractor,2,2,banana_blue,distractor,3,4
4924-4,1479924154430,13,pear,informative,pear_green,target,2,3,pear_yellow,distractor,3,4,avocado_red,distractor,4,2
4924-4,1479924183691,14,avocado,informative,avocado_green,target,4,3,banana_brown,distractor,2,4,avocado_black,distractor,3,2
4924-4,1479924193189,15,apple,informative,apple_red,target,3,2,apple_green,distractor,4,3,banana_yellow,distractor,2,4
4924-4,1479924204555,16,tomato,informative-cc,tomato_red,target,4,3,tomato_pink,distractor,2,2,distractor_tomato_red,distractor,3,4
4924-4,1479924218762,17,apple,informative-cc,apple_blue,target,2,2,apple_green,distractor,3,3,distractor_apple_blue,distractor,4,4
4924-4,1479924231126,18,tomato,overinformative,tomato_pink,target,3,2,pepper_red,distractor,4,4,avocado_black,distractor,2,3
4924-4,1479924253366,19,tomato,overinformative,tomato_green,target,3,4,apple_red,distractor,2,2,apple_blue,distractor,4,3
4924-4,1479924276903,20,carrot,informative,carrot_orange,target,3,4,banana_yellow,distractor,4,2,carrot_brown,distractor,2,3
4924-4,1479924313950,21,avocado,overinformative-cc,avocado_green,target,4,2,banana_brown,distractor,3,3,distractor_avocado_green,distractor,2,4
4924-4,1479924322495,22,banana,overinformative-cc,banana_yellow,target,4,4,pepper_black,distractor,3,2,distractor_banana_yellow,distractor,2,3
4924-4,1479924333288,23,pear,informative-cc,pear_yellow,target,2,2,pear_green,distractor,3,3,distractor_pear_yellow,distractor,4,4
4924-4,1479924346522,24,tomato,informative-cc,tomato_green,target,2,4,tomato_red,distractor,4,3,distractor_tomato_green,distractor,3,2
4924-4,1479924386040,25,pepper,informative,pepper_black,target,3,3,pepper_red,distractor,4,4,apple_red,distractor,2,2
4924-4,1479924397632,26,avocado,overinformative-cc,avocado_red,target,3,4,pepper_orange,distractor,4,3,distractor_avocado_red,distractor,2,2
4924-4,1479924416086,27,avocado,informative-cc,avocado_red,target,2,2,distractor_avocado_red,distractor,3,3,avocado_black,distractor,4,4
4924-4,1479924432002,28,pepper,overinformative-cc,pepper_orange,target,3,4,apple_blue,distractor,4,3,distractor_pepper_orange,distractor,2,2
4924-4,1479924451610,29,banana,informative,banana_blue,target,2,3,pear_orange,distractor,3,4,banana_yellow,distractor,4,2
