gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
5106-7,1479925220528,1,avocado,overinformative,avocado_green,target,4,2,apple_red,distractor,3,4,pear_yellow,distractor,2,3
5106-7,1479925227559,2,pepper,overinformative,pepper_black,target,3,2,pear_green,distractor,4,4,avocado_green,distractor,2,3
5106-7,1479925233313,3,pepper,overinformative-cc,pepper_orange,target,4,4,carrot_brown,distractor,2,2,distractor_pepper_orange,distractor,3,3
5106-7,1479925241614,4,pear,informative-cc,pear_green,target,4,3,pear_yellow,distractor,3,2,distractor_pear_green,distractor,2,4
5106-7,1479925248142,5,carrot,informative-cc,carrot_brown,target,2,3,distractor_carrot_brown,distractor,3,4,carrot_pink,distractor,4,2
5106-7,1479925254118,6,apple,informative-cc,apple_red,target,4,2,apple_green,distractor,2,4,distractor_apple_red,distractor,3,3
5106-7,1479925259710,7,pear,informative-cc,pear_orange,target,2,2,distractor_pear_orange,distractor,4,4,pear_green,distractor,3,3
5106-7,1479925265197,8,carrot,overinformative,carrot_orange,target,4,4,banana_blue,distractor,2,2,tomato_red,distractor,3,3
5106-7,1479925271943,9,pepper,overinformative-cc,pepper_red,target,4,3,distractor_pepper_red,distractor,2,4,tomato_pink,distractor,3,2
5106-7,1479925279765,10,pear,informative,pear_yellow,target,2,3,pear_green,distractor,3,4,carrot_orange,distractor,4,2
5106-7,1479925285853,11,tomato,overinformative-cc,tomato_pink,target,4,2,carrot_orange,distractor,2,3,distractor_tomato_pink,distractor,3,4
5106-7,1479925291484,12,carrot,overinformative,carrot_brown,target,3,3,pepper_red,distractor,4,2,apple_red,distractor,2,4
5106-7,1479925298085,13,apple,informative,apple_green,target,3,4,apple_blue,distractor,4,3,avocado_black,distractor,2,2
5106-7,1479925303550,14,apple,informative-cc,apple_blue,target,3,2,distractor_apple_blue,distractor,2,4,apple_red,distractor,4,3
5106-7,1479925309497,15,pepper,informative-cc,pepper_red,target,3,4,distractor_pepper_red,distractor,4,2,pepper_orange,distractor,2,3
5106-7,1479925314256,16,pear,overinformative,pear_green,target,4,3,pepper_orange,distractor,3,2,carrot_brown,distractor,2,4
5106-7,1479925322124,17,carrot,informative-cc,carrot_orange,target,3,3,carrot_brown,distractor,2,4,distractor_carrot_orange,distractor,4,2
5106-7,1479925326988,18,apple,overinformative,apple_red,target,4,4,tomato_green,distractor,3,2,avocado_black,distractor,2,3
5106-7,1479925333597,19,carrot,informative-cc,carrot_pink,target,4,3,distractor_carrot_pink,distractor,3,4,carrot_brown,distractor,2,2
5106-7,1479925340164,20,banana,informative,banana_yellow,target,4,3,apple_red,distractor,3,4,banana_blue,distractor,2,2
5106-7,1479925347396,21,avocado,informative-cc,avocado_red,target,3,4,avocado_black,distractor,2,2,distractor_avocado_red,distractor,4,3
5106-7,1479925353883,22,banana,overinformative,banana_blue,target,2,4,pear_yellow,distractor,3,2,pear_orange,distractor,4,3
5106-7,1479925358644,23,banana,overinformative-cc,banana_brown,target,3,3,tomato_green,distractor,2,2,distractor_banana_brown,distractor,4,4
5106-7,1479925363164,24,apple,overinformative-cc,apple_green,target,3,3,distractor_apple_green,distractor,4,4,carrot_orange,distractor,2,2
5106-7,1479925372338,25,avocado,informative,avocado_black,target,2,4,avocado_green,distractor,3,3,apple_blue,distractor,4,2
5106-7,1479925378202,26,apple,overinformative-cc,apple_blue,target,2,3,distractor_apple_blue,distractor,3,4,pepper_black,distractor,4,2
5106-7,1479925383218,27,pear,overinformative-cc,pear_yellow,target,4,2,distractor_pear_yellow,distractor,3,4,pepper_black,distractor,2,3
5106-7,1479925388874,28,tomato,overinformative-cc,tomato_green,target,2,3,distractor_tomato_green,distractor,3,4,pear_orange,distractor,4,2
5106-7,1479925395874,29,avocado,informative,avocado_green,target,3,2,carrot_pink,distractor,2,3,avocado_black,distractor,4,4
5106-7,1479925400858,30,pepper,overinformative,pepper_orange,target,3,4,carrot_pink,distractor,4,3,apple_blue,distractor,2,2
5106-7,1479925406980,31,banana,informative,banana_brown,target,4,3,banana_blue,distractor,3,2,pear_orange,distractor,2,4
5106-7,1479925412377,32,banana,informative,banana_blue,target,2,3,banana_yellow,distractor,3,2,avocado_green,distractor,4,4
5106-7,1479925417944,33,avocado,informative,avocado_red,target,2,2,avocado_green,distractor,3,3,apple_green,distractor,4,4
5106-7,1479925423834,34,avocado,overinformative-cc,avocado_black,target,3,2,distractor_avocado_black,distractor,4,4,carrot_brown,distractor,2,3
5106-7,1479925430152,35,tomato,informative-cc,tomato_green,target,3,4,tomato_pink,distractor,2,3,distractor_tomato_green,distractor,4,2
5106-7,1479925436569,36,tomato,informative-cc,tomato_red,target,2,4,distractor_tomato_red,distractor,4,3,tomato_green,distractor,3,2
5106-7,1479925442346,37,tomato,informative-cc,tomato_pink,target,4,2,tomato_red,distractor,2,3,distractor_tomato_pink,distractor,3,4
5106-7,1479925448104,38,pepper,overinformative-cc,pepper_black,target,3,2,tomato_pink,distractor,4,4,distractor_pepper_black,distractor,2,3
5106-7,1479925452585,39,tomato,overinformative,tomato_red,target,3,2,carrot_brown,distractor,4,3,pear_orange,distractor,2,4
5106-7,1479925460392,40,banana,informative-cc,banana_yellow,target,2,2,banana_brown,distractor,3,3,distractor_banana_yellow,distractor,4,4
5106-7,1479925467033,41,carrot,informative,carrot_pink,target,4,2,pear_green,distractor,3,4,carrot_brown,distractor,2,3
5106-7,1479925471864,42,pear,overinformative,pear_orange,target,2,4,avocado_black,distractor,3,2,banana_brown,distractor,4,3
