gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
6180-c,1479927446887,1,apple,informative-cc,apple_green,target,2,4,distractor_apple_green,distractor,4,3,apple_red,distractor,3,2
6180-c,1479927463681,2,tomato,informative-cc,tomato_red,target,4,2,tomato_pink,distractor,2,3,distractor_tomato_red,distractor,3,4
6180-c,1479927474569,3,carrot,informative,carrot_orange,target,3,4,carrot_brown,distractor,2,3,avocado_red,distractor,4,2
6180-c,1479927481816,4,apple,overinformative,apple_blue,target,2,4,carrot_pink,distractor,3,2,banana_yellow,distractor,4,3
6180-c,1479927498753,5,apple,overinformative-cc,apple_green,target,4,3,distractor_apple_green,distractor,3,4,avocado_red,distractor,2,2
6180-c,1479927511885,6,pear,informative-cc,pear_orange,target,3,4,pear_yellow,distractor,2,3,distractor_pear_orange,distractor,4,2
6180-c,1479927522280,7,tomato,overinformative,tomato_green,target,3,3,pear_orange,distractor,2,4,pepper_red,distractor,4,2
6180-c,1479927537743,8,apple,overinformative-cc,apple_red,target,3,3,pear_orange,distractor,4,2,distractor_apple_red,distractor,2,4
6180-c,1479927545336,9,pear,informative,pear_orange,target,4,4,banana_blue,distractor,2,2,pear_yellow,distractor,3,3
6180-c,1479927554499,10,tomato,informative-cc,tomato_green,target,2,4,tomato_pink,distractor,3,3,distractor_tomato_green,distractor,4,2
6180-c,1479927559400,11,pepper,informative,pepper_red,target,4,4,pepper_black,distractor,2,2,banana_brown,distractor,3,3
6180-c,1479927564843,12,pepper,informative,pepper_black,target,2,3,tomato_pink,distractor,3,4,pepper_orange,distractor,4,2
6180-c,1479927587828,13,pepper,overinformative-cc,pepper_orange,target,2,4,distractor_pepper_orange,distractor,3,3,banana_brown,distractor,4,2
6180-c,1479927594808,14,avocado,overinformative,avocado_green,target,4,3,banana_blue,distractor,2,2,pear_orange,distractor,3,4
6180-c,1479927619049,15,avocado,informative,avocado_red,target,3,3,pear_orange,distractor,4,2,avocado_black,distractor,2,4
6180-c,1479927634900,16,tomato,overinformative,tomato_pink,target,3,2,carrot_brown,distractor,2,4,pepper_red,distractor,4,3
6180-c,1479927646428,17,banana,overinformative-cc,banana_yellow,target,3,2,pepper_black,distractor,4,4,distractor_banana_yellow,distractor,2,3
6180-c,1479927657802,18,pear,overinformative-cc,pear_yellow,target,3,2,distractor_pear_yellow,distractor,2,3,banana_brown,distractor,4,4
6180-c,1479927667206,19,banana,overinformative-cc,banana_brown,target,2,4,carrot_orange,distractor,3,2,distractor_banana_brown,distractor,4,3
6180-c,1479927678735,20,carrot,overinformative,carrot_brown,target,3,2,apple_blue,distractor,2,3,pear_green,distractor,4,4
6180-c,1479927686085,21,carrot,overinformative,carrot_orange,target,2,3,tomato_green,distractor,3,4,tomato_red,distractor,4,2
6180-c,1479927697664,22,carrot,informative,carrot_pink,target,2,4,pear_yellow,distractor,3,3,carrot_orange,distractor,4,2
6180-c,1479927703911,23,avocado,overinformative,avocado_black,target,2,3,carrot_pink,distractor,3,2,tomato_red,distractor,4,4
6180-c,1479927709183,24,banana,overinformative,banana_blue,target,4,2,pear_green,distractor,3,3,carrot_pink,distractor,2,4
6180-c,1479927717073,25,tomato,informative,tomato_pink,target,4,3,tomato_green,distractor,3,2,apple_blue,distractor,2,4
6180-c,1479927724859,26,carrot,overinformative,carrot_pink,target,3,3,pepper_red,distractor,4,4,avocado_black,distractor,2,2
6180-c,1479927733270,27,pear,overinformative,pear_yellow,target,4,3,carrot_brown,distractor,3,2,carrot_orange,distractor,2,4
6180-c,1479927742873,28,pear,informative,pear_green,target,3,4,banana_brown,distractor,2,2,pear_orange,distractor,4,3
6180-c,1479927752016,29,banana,informative,banana_blue,target,4,4,banana_yellow,distractor,2,2,avocado_black,distractor,3,3
6180-c,1479927766253,30,avocado,informative-cc,avocado_black,target,2,4,avocado_red,distractor,3,3,distractor_avocado_black,distractor,4,2
6180-c,1479927778791,31,avocado,informative-cc,distractor_avocado_red,distractor,2,2,avocado_black,distractor,3,4,avocado_red,target,4,3
6180-c,1479927786144,32,banana,overinformative,banana_yellow,target,2,2,apple_red,distractor,4,4,tomato_green,distractor,3,3
6180-c,1479927803936,33,pear,overinformative-cc,pear_green,target,4,2,tomato_pink,distractor,3,4,distractor_pear_green,distractor,2,3
6180-c,1479927809027,34,apple,overinformative,apple_red,target,2,4,carrot_pink,distractor,4,2,pepper_orange,distractor,3,3
6180-c,1479927817835,35,pepper,informative-cc,pepper_red,target,2,3,distractor_pepper_red,distractor,3,4,pepper_black,distractor,4,2
6180-c,1479927822388,36,tomato,overinformative,tomato_red,target,4,2,banana_blue,distractor,3,3,apple_blue,distractor,2,4
6180-c,1479927831252,37,apple,informative-cc,apple_blue,target,3,4,distractor_apple_blue,distractor,2,3,apple_red,distractor,4,2
6180-c,1479927843395,38,pepper,overinformative,pepper_orange,target,4,2,avocado_red,distractor,2,4,avocado_green,distractor,3,3
6180-c,1479927852846,39,pepper,informative-cc,pepper_black,target,2,2,distractor_pepper_black,distractor,4,4,pepper_orange,distractor,3,3
6180-c,1479927861863,40,banana,informative,banana_brown,target,4,2,tomato_pink,distractor,2,3,banana_blue,distractor,3,4
6180-c,1479927871656,41,avocado,informative-cc,avocado_green,target,4,3,distractor_avocado_green,distractor,2,4,avocado_red,distractor,3,2
6180-c,1479927881018,42,carrot,informative-cc,carrot_brown,target,3,3,distractor_carrot_brown,distractor,4,4,carrot_pink,distractor,2,2
