gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
1638-6,1479924551300,1,carrot,informative,carrot_brown,target,4,3,pear_green,distractor,3,2,carrot_pink,distractor,2,4
1638-6,1479924567754,2,pear,overinformative,pear_yellow,target,4,3,banana_blue,distractor,3,2,tomato_green,distractor,2,4
1638-6,1479924583596,3,apple,informative,apple_red,target,4,2,apple_blue,distractor,3,4,avocado_black,distractor,2,3
1638-6,1479924609029,4,pear,informative-cc,pear_orange,target,4,4,pear_yellow,distractor,3,2,distractor_pear_orange,distractor,2,3
1638-6,1479924635558,5,banana,informative,banana_yellow,target,4,4,banana_blue,distractor,3,3,pepper_orange,distractor,2,2
1638-6,1479924649226,6,apple,overinformative,apple_red,target,3,2,tomato_pink,distractor,4,4,avocado_green,distractor,2,3
1638-6,1479924723546,7,tomato,informative-cc,tomato_pink,target,4,3,tomato_green,distractor,2,2,distractor_tomato_pink,distractor,3,4
1638-6,1479924738980,8,banana,informative,banana_blue,target,3,2,banana_brown,distractor,4,3,avocado_red,distractor,2,4
1638-6,1479924763348,9,tomato,overinformative-cc,tomato_red,target,3,3,banana_yellow,distractor,2,4,distractor_tomato_red,distractor,4,2
1638-6,1479924807165,10,avocado,overinformative-cc,avocado_black,target,2,4,distractor_avocado_black,distractor,3,2,banana_brown,distractor,4,3
1638-6,1479924835947,11,apple,overinformative-cc,apple_blue,target,4,3,distractor_apple_blue,distractor,2,2,carrot_pink,distractor,3,4
1638-6,1479924859349,12,avocado,informative,avocado_black,target,3,4,avocado_red,distractor,2,3,pepper_orange,distractor,4,2
1638-6,1479924869092,13,banana,overinformative-cc,banana_yellow,target,2,4,pear_orange,distractor,3,3,distractor_banana_yellow,distractor,4,2
1638-6,1479924881334,14,avocado,overinformative,carrot_pink,distractor,4,3,avocado_green,target,3,2,tomato_red,distractor,2,4
1638-6,1479924893289,15,carrot,overinformative-cc,carrot_brown,target,2,3,tomato_green,distractor,3,4,distractor_carrot_brown,distractor,4,2
1638-6,1479924917138,16,pepper,overinformative,pepper_orange,target,2,2,apple_green,distractor,4,4,avocado_green,distractor,3,3
1638-6,1479924937080,17,tomato,informative-cc,tomato_green,target,2,2,distractor_tomato_green,distractor,3,4,tomato_pink,distractor,4,3
1638-6,1479924953358,18,carrot,informative-cc,carrot_pink,target,3,3,carrot_brown,distractor,4,4,distractor_carrot_pink,distractor,2,2
1638-6,1479924976967,19,pepper,informative-cc,pepper_red,target,2,4,pepper_orange,distractor,3,2,distractor_pepper_red,distractor,4,3
1638-6,1479924987181,20,pepper,overinformative-cc,pepper_orange,target,2,4,distractor_pepper_orange,distractor,4,2,apple_blue,distractor,3,3
1638-6,1479925001221,21,tomato,overinformative,tomato_pink,target,4,2,apple_red,distractor,3,4,banana_yellow,distractor,2,3
1638-6,1479925012847,22,avocado,overinformative-cc,avocado_green,target,4,2,banana_blue,distractor,2,4,distractor_avocado_green,distractor,3,3
1638-6,1479925026284,23,carrot,overinformative-cc,carrot_pink,target,4,3,apple_green,distractor,3,4,distractor_carrot_pink,distractor,2,2
1638-6,1479925042996,24,avocado,overinformative-cc,avocado_red,target,4,4,pear_orange,distractor,3,2,distractor_avocado_red,distractor,2,3
1638-6,1479925055935,25,avocado,informative,avocado_red,target,4,2,pepper_black,distractor,3,3,avocado_black,distractor,2,4
1638-6,1479925065624,26,apple,overinformative,apple_green,target,2,4,tomato_pink,distractor,3,2,banana_brown,distractor,4,3
1638-6,1479925075940,27,pepper,overinformative,pepper_black,target,2,2,tomato_pink,distractor,3,4,avocado_red,distractor,4,3
1638-6,1479925087098,28,tomato,informative-cc,tomato_red,target,2,2,distractor_tomato_red,distractor,3,4,tomato_green,distractor,4,3
1638-6,1479925098647,29,pepper,informative-cc,pepper_black,target,3,2,distractor_pepper_black,distractor,4,4,pepper_red,distractor,2,3
