gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
7430-9,1479930804544,1,pepper,informative-cc,pepper_orange,target,4,2,distractor_pepper_orange,distractor,2,4,pepper_black,distractor,3,3
7430-9,1479930828393,2,carrot,overinformative-cc,distractor_carrot_pink,distractor,3,3,carrot_pink,target,4,2,apple_blue,distractor,2,4
7430-9,1479930845151,3,avocado,informative,carrot_orange,distractor,3,4,avocado_black,target,2,2,avocado_red,distractor,4,3
7430-9,1479930850728,4,banana,informative,banana_yellow,target,4,3,carrot_pink,distractor,2,4,banana_blue,distractor,3,2
7430-9,1479930855039,5,tomato,overinformative-cc,avocado_red,distractor,3,3,tomato_pink,target,2,2,distractor_tomato_pink,distractor,4,4
7430-9,1479930859943,6,tomato,informative,tomato_green,distractor,4,4,tomato_red,target,2,2,avocado_black,distractor,3,3
7430-9,1479930864016,7,pepper,informative,pepper_red,target,3,3,pepper_orange,distractor,2,4,tomato_pink,distractor,4,2
7430-9,1479930867327,8,avocado,informative,banana_yellow,distractor,3,4,avocado_green,target,2,2,avocado_red,distractor,4,3
7430-9,1479930871007,9,pepper,overinformative,pepper_red,target,4,3,carrot_orange,distractor,2,2,carrot_pink,distractor,3,4
7430-9,1479930875071,10,banana,overinformative-cc,banana_brown,target,3,3,tomato_red,distractor,4,2,distractor_banana_brown,distractor,2,4
7430-9,1479930878735,11,carrot,overinformative-cc,avocado_red,distractor,2,4,distractor_carrot_brown,distractor,3,2,carrot_brown,target,4,3
7430-9,1479930881687,12,apple,informative,apple_blue,distractor,2,4,apple_red,target,3,2,avocado_green,distractor,4,3
7430-9,1479930885280,13,avocado,overinformative-cc,avocado_red,target,2,2,distractor_avocado_red,distractor,3,3,banana_blue,distractor,4,4
7430-9,1479930888976,14,carrot,overinformative-cc,carrot_orange,target,3,2,distractor_carrot_orange,distractor,4,3,apple_blue,distractor,2,4
7430-9,1479930892183,15,banana,informative-cc,banana_yellow,target,2,3,distractor_banana_yellow,distractor,4,2,banana_brown,distractor,3,4
7430-9,1479930895402,16,banana,overinformative,pear_yellow,distractor,4,3,pear_green,distractor,2,2,banana_blue,target,3,4
7430-9,1479930898543,17,apple,overinformative,tomato_pink,distractor,4,3,apple_blue,target,3,4,avocado_green,distractor,2,2
7430-9,1479930901615,18,carrot,informative,pepper_black,distractor,2,4,carrot_brown,target,3,2,carrot_pink,distractor,4,3
7430-9,1479930904400,19,pear,overinformative-cc,avocado_black,distractor,2,3,distractor_pear_yellow,distractor,4,4,pear_yellow,target,3,2
7430-9,1479930907327,20,carrot,informative-cc,carrot_brown,distractor,3,3,carrot_orange,target,4,4,distractor_carrot_orange,distractor,2,2
7430-9,1479930910001,21,carrot,informative,carrot_pink,target,4,4,carrot_brown,distractor,3,2,apple_green,distractor,2,3
7430-9,1479930912824,22,avocado,informative,avocado_red,target,3,3,apple_blue,distractor,2,4,avocado_black,distractor,4,2
7430-9,1479930915401,23,avocado,overinformative,avocado_black,target,4,4,banana_blue,distractor,3,2,tomato_pink,distractor,2,3
7430-9,1479930918120,24,tomato,informative-cc,distractor_tomato_green,distractor,2,2,tomato_red,distractor,3,3,tomato_green,target,4,4
7430-9,1479930920823,25,pear,informative,pear_yellow,distractor,4,4,carrot_brown,distractor,3,2,pear_orange,target,2,3
7430-9,1479930923608,26,pear,overinformative-cc,distractor_pear_green,distractor,3,3,pear_green,target,4,4,apple_blue,distractor,2,2
7430-9,1479930926279,27,tomato,informative-cc,distractor_tomato_red,distractor,2,4,tomato_pink,distractor,3,3,tomato_red,target,4,2
