gameid,time,roundNum,sender,contents
7963-8,1479921494554,1,speaker,"click on the red thing that isnt the apple"
7963-8,1479921501730,2,speaker,"the green pear"
7963-8,1479921507365,3,speaker,"green tomtato"
7963-8,1479921514958,4,speaker,"carrott"
7963-8,1479921520416,5,speaker,"orange "
7963-8,1479921525501,6,speaker,"yellow"
7963-8,1479921529595,7,speaker,"green"
7963-8,1479921533425,8,speaker,"brown"
7963-8,1479921539469,9,speaker,"green tomato"
7963-8,1479921546417,10,speaker,"brown carrot"
7963-8,1479921551859,11,speaker,"purple carot"
7963-8,1479921557003,12,speaker,"brown banana"
7963-8,1479921562359,13,speaker,"orange"
7963-8,1479921566865,14,speaker,"green apple"
7963-8,1479921571978,15,speaker,"pear"
7963-8,1479921576009,16,speaker,"tomato"
7963-8,1479921585884,17,speaker,"orange jalpaeno? "
7963-8,1479921593733,18,speaker,"apple"
7963-8,1479921599750,19,speaker,"orange carrot"
7963-8,1479921606847,20,speaker,"red jalapeno"
7963-8,1479921613195,21,speaker,"purple"
7963-8,1479921620556,22,speaker,"carrot"
7963-8,1479921625081,23,speaker,"apple"
7963-8,1479921630723,24,speaker,"green"
7963-8,1479921636333,25,speaker,"orange"
7963-8,1479921641636,26,speaker,"red"
7963-8,1479921645349,27,speaker,"black"
7963-8,1479921649562,28,speaker,"yellow"
7963-8,1479921656487,29,speaker,"black non jalapeno"
7963-8,1479921660891,30,speaker,"red apple"
7963-8,1479921664662,31,speaker,"pear"
7963-8,1479921669398,32,speaker,"red"
7963-8,1479921676976,33,speaker,"jalapeno"
7963-8,1479921682430,34,speaker,"red "
7963-8,1479921686955,35,speaker,"banana"
7963-8,1479921691763,36,speaker,"apple"
7963-8,1479921697250,37,speaker,"purple tomato"
7963-8,1479921701803,38,speaker,"yellow pear"
7963-8,1479921707022,39,speaker,"black jalapeno"
7963-8,1479921710988,40,speaker,"green"
7963-8,1479921714821,41,speaker,"black"
7963-8,1479921718400,42,speaker,"blue"
