gameid,time,roundNum,sender,contents
8628-9,1479922785656,1,speaker,"it's made into a sauce on pizza"
8628-9,1479922801977,2,speaker,"it's yellow"
8628-9,1479922811416,3,speaker,"it's green"
8628-9,1479922821049,4,speaker,"the avocado"
8628-9,1479922828786,5,speaker,"purple"
8628-9,1479922836485,6,speaker,"red apple"
8628-9,1479922842415,7,speaker,"pear"
8628-9,1479922852597,8,speaker,"green tomato"
8628-9,1479922860834,9,speaker,"brown carrot"
8628-9,1479922867026,10,speaker,"carrot"
8628-9,1479922873994,11,speaker,"avocado"
8628-9,1479922881404,12,speaker,"yellow pepper"
8628-9,1479922889014,13,speaker,"banana"
8628-9,1479922895402,14,speaker,"carrot"
8628-9,1479922900940,15,speaker,"carrot"
8628-9,1479922910153,16,speaker,"brown banana"
8628-9,1479922916911,17,speaker,"yellow pear"
8628-9,1479922922263,18,speaker,"pear"
8628-9,1479922928681,19,speaker,"pepper"
8628-9,1479922936934,20,speaker,"green pear"
8628-9,1479922944718,21,speaker,"blue banana"
8628-9,1479922952734,22,speaker,"orange pear"
8628-9,1479922959506,23,speaker,"pepper"
8628-9,1479922966520,24,speaker,"red pepper"
8628-9,1479922972700,25,speaker,"pear"
8628-9,1479922979399,26,speaker,"purple"
8628-9,1479922987218,27,speaker,"black pepper"
8628-9,1479922995241,28,speaker,"green"
8628-9,1479923000863,29,speaker,"blue"
8628-9,1479923005205,30,speaker,"red"
8628-9,1479923011107,31,speaker,"green"
8628-9,1479923017149,32,speaker,"blue"
8628-9,1479923023120,33,speaker,"orange"
8628-9,1479923030898,34,speaker,"green avocado"
8628-9,1479923044435,35,speaker,"green"
8628-9,1479923052438,36,speaker,"avocado"
8628-9,1479923059817,37,speaker,"purple carrot"
8628-9,1479923066246,38,speaker,"banana"
8628-9,1479923072483,39,speaker,"tomato"
8628-9,1479923078013,40,speaker,"tomato"
8628-9,1479923087625,41,speaker,"red avocado"
8628-9,1479923093490,42,speaker,"blue"
