gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8837-a,1455303188454,1,subSuperTrial,basic33,polarBear,target,4,3,bear,animal,popcorn,distractor,3,4,NA,snack,socks,distractor,2,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303212717,2,subSuperTrial,basic22,kitten,distractor,3,2,NA,animal,parrot,target,2,4,bird,animal,rabbit,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303234495,3,colorSizeTrial,size33,big_blue_butterfly,target,2,4,NA,NA,small_blue_butterfly,distractor,3,1,NA,NA,small_blue_butterfly,distractor,1,2,NA,NA,small_blue_butterfly,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303249690,4,colorSizeTrial,size43,big_purple_bracelet,target,4,3,NA,NA,small_purple_bracelet,distractor,3,5,NA,NA,small_purple_bracelet,distractor,5,2,NA,NA,small_purple_bracelet,distractor,1,1,NA,NA,small_green_bracelet,distractor,2,4,NA,NA
8837-a,1455303259526,5,subSuperTrial,basic23,gummyBears,target,3,4,candy,snack,pretzels,distractor,2,2,NA,snack,bathrobe,distractor,4,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303266947,6,subSuperTrial,basic23,jellyBeans,target,3,2,candy,snack,cookies,distractor,2,4,NA,snack,rabbit,distractor,4,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303274561,7,subSuperTrial,basic23,husky,target,2,3,dog,animal,squirrel,distractor,3,4,NA,animal,pottedPlant,distractor,4,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303287525,8,colorSizeTrial,color33,small_red_tack,target,4,4,NA,NA,small_blue_tack,distractor,1,3,NA,NA,small_blue_tack,distractor,2,1,NA,NA,small_blue_tack,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303304621,9,subSuperTrial,basic22,coffeeTable,target,3,2,table,furniture,wardrobe,distractor,4,4,NA,furniture,bookcase,distractor,2,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8837-a,1455303341579,10,subSuperTrial,basic23,snake,distractor,2,3,NA,animal,gloves,distractor,4,4,NA,clothing,pug,target,3,2,dog,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
