gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
7569-e,1455304343576,1,colorSizeTrial,size31,big_purple_ornament,target,1,2,NA,NA,small_blue_ornament,distractor,3,4,NA,NA,small_blue_ornament,distractor,2,1,NA,NA,small_purple_ornament,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304359207,2,subSuperTrial,basic23,polarBear,target,2,3,bear,animal,cookies,distractor,4,2,NA,snack,iguana,distractor,3,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304375638,3,subSuperTrial,basic33,elephant,distractor,3,3,NA,animal,chips,distractor,2,2,NA,snack,poloShirt,target,4,4,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304389574,4,subSuperTrial,basic33,bedsideTable,target,2,3,table,furniture,iguana,distractor,3,2,NA,animal,dress,distractor,4,4,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304411005,5,subSuperTrial,basic33,suv,target,3,3,car,vehicle,lamp,distractor,4,2,NA,furniture,socks,distractor,2,4,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304429840,6,subSuperTrial,basic23,bathrobe,distractor,3,2,NA,clothing,parrot,target,4,4,bird,animal,rabbit,distractor,2,3,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304442712,7,colorSizeTrial,size42,big_orange_coathanger,target,5,2,NA,NA,small_purple_coathanger,distractor,4,4,NA,NA,small_purple_coathanger,distractor,3,5,NA,NA,small_orange_coathanger,distractor,1,1,NA,NA,small_orange_coathanger,distractor,2,3,NA,NA
7569-e,1455304455923,8,subSuperTrial,basic22,rose,target,3,2,flower,plant,ivy,distractor,4,3,NA,plant,pottedPlant,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304470565,9,colorSizeTrial,color21,small_pink_bucket,target,4,3,NA,NA,big_red_bucket,distractor,2,2,NA,NA,small_red_bucket,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
7569-e,1455304477566,10,colorSizeTrial,color22,big_green_rock,target,3,3,NA,NA,big_purple_rock,distractor,2,4,NA,NA,big_purple_rock,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
