gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
5584-c,1455306526273,1,colorSizeTrial,size43,big_black_avocado,target,1,2,NA,NA,small_black_avocado,distractor,2,1,NA,NA,small_black_avocado,distractor,4,5,NA,NA,small_green_avocado,distractor,5,3,NA,NA,small_black_avocado,distractor,3,4,NA,NA
5584-c,1455306537663,2,colorSizeTrial,color21,small_blue_golfball,target,2,3,NA,NA,small_pink_golfball,distractor,4,2,NA,NA,big_pink_golfball,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306546721,3,subSuperTrial,basic22,jellyBeans,target,2,3,candy,snack,chips,distractor,4,4,NA,snack,pretzels,distractor,3,2,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306552552,4,colorSizeTrial,color31,big_green_chair,target,4,3,NA,NA,small_red_chair,distractor,1,2,NA,NA,big_red_chair,distractor,3,4,NA,NA,small_red_chair,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306568119,5,subSuperTrial,basic33,diningTable,target,2,4,table,furniture,cookies,distractor,4,3,NA,snack,snake,distractor,3,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306575776,6,colorSizeTrial,size21,big_purple_ornament,target,2,4,NA,NA,small_purple_ornament,distractor,3,3,NA,NA,small_blue_ornament,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306583800,7,colorSizeTrial,color43,big_blue_tack,target,2,2,NA,NA,big_red_tack,distractor,5,5,NA,NA,big_red_tack,distractor,4,4,NA,NA,small_red_tack,distractor,1,3,NA,NA,big_red_tack,distractor,3,1,NA,NA
5584-c,1455306599778,8,subSuperTrial,basic12,husky,target,3,4,dog,animal,greyhound,distractor,4,3,dog,animal,iguana,distractor,2,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306610457,9,subSuperTrial,basic12,hawaiiShirt,target,3,3,shirt,clothing,campShirt,distractor,2,4,shirt,clothing,socks,distractor,4,2,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306622050,10,colorSizeTrial,size42,big_blue_guitar,target,2,2,NA,NA,small_blue_guitar,distractor,1,1,NA,NA,small_blue_guitar,distractor,5,4,NA,NA,small_green_guitar,distractor,4,5,NA,NA,small_green_guitar,distractor,3,3,NA,NA
5584-c,1455306634018,11,subSuperTrial,basic23,coffeeTable,target,2,2,table,furniture,lamp,distractor,3,4,NA,furniture,rosemary,distractor,4,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306641274,12,subSuperTrial,basic22,tulip,target,3,2,flower,plant,pottedPlant,distractor,4,3,NA,plant,grasses,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306647889,13,colorSizeTrial,size22,small_blue_toothbrush,target,4,3,NA,NA,big_blue_toothbrush,distractor,3,2,NA,NA,big_blue_toothbrush,distractor,2,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306657705,14,colorSizeTrial,color41,big_blue_candle,target,2,3,NA,NA,big_red_candle,distractor,4,2,NA,NA,small_red_candle,distractor,3,4,NA,NA,small_red_candle,distractor,1,1,NA,NA,small_red_candle,distractor,5,5,NA,NA
5584-c,1455306674203,15,subSuperTrial,basic22,poloShirt,target,3,2,shirt,clothing,gloves,distractor,4,4,NA,clothing,socks,distractor,2,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306686505,16,subSuperTrial,basic33,polarBear,target,3,2,bear,animal,firetruck,distractor,2,3,NA,vehicle,popcorn,distractor,4,4,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306695378,17,subSuperTrial,basic12,sunflower,target,4,2,flower,plant,grasses,distractor,3,4,NA,plant,lily,distractor,2,3,flower,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306703985,18,colorSizeTrial,color32,small_blue_rug,target,4,4,NA,NA,small_purple_rug,distractor,2,2,NA,NA,big_purple_rug,distractor,3,1,NA,NA,small_purple_rug,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
5584-c,1455306713354,19,colorSizeTrial,size43,small_brown_belt,target,4,3,NA,NA,big_black_belt,distractor,2,1,NA,NA,big_brown_belt,distractor,1,2,NA,NA,big_brown_belt,distractor,3,4,NA,NA,big_brown_belt,distractor,5,5,NA,NA
