gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8883-2,1455308555412,1,colorSizeTrial,size31,big_blue_ornament,target,1,4,NA,NA,small_purple_ornament,distractor,4,1,NA,NA,small_blue_ornament,distractor,2,2,NA,NA,small_purple_ornament,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308561260,2,colorSizeTrial,color43,big_purple_butterfly,target,2,4,NA,NA,small_blue_butterfly,distractor,5,5,NA,NA,big_blue_butterfly,distractor,3,3,NA,NA,big_blue_butterfly,distractor,1,2,NA,NA,big_blue_butterfly,distractor,4,1,NA,NA
8883-2,1455308566996,3,colorSizeTrial,color32,big_pink_weddingcake,target,2,2,NA,NA,big_white_weddingcake,distractor,4,3,NA,NA,big_white_weddingcake,distractor,1,4,NA,NA,small_white_weddingcake,distractor,3,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308574794,4,colorSizeTrial,color44,small_purple_rock,target,3,5,NA,NA,small_green_rock,distractor,1,1,NA,NA,small_green_rock,distractor,4,2,NA,NA,small_green_rock,distractor,5,3,NA,NA,small_green_rock,distractor,2,4,NA,NA
8883-2,1455308582570,5,subSuperTrial,basic33,pigeon,target,2,2,bird,animal,gloves,distractor,4,3,NA,clothing,firetruck,distractor,3,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308590036,6,colorSizeTrial,size44,small_pink_framee,target,3,3,NA,NA,big_pink_framee,distractor,4,1,NA,NA,big_pink_framee,distractor,5,5,NA,NA,big_pink_framee,distractor,1,4,NA,NA,big_pink_framee,distractor,2,2,NA,NA
8883-2,1455308610500,7,subSuperTrial,basic23,minivan,target,4,3,car,vehicle,firetruck,distractor,3,2,NA,vehicle,wardrobe,distractor,2,4,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308616881,8,colorSizeTrial,color33,small_brown_belt,target,2,4,NA,NA,small_black_belt,distractor,3,3,NA,NA,small_black_belt,distractor,4,1,NA,NA,small_black_belt,distractor,1,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308622860,9,colorSizeTrial,color44,small_blue_candle,target,1,1,NA,NA,small_red_candle,distractor,2,2,NA,NA,small_red_candle,distractor,4,3,NA,NA,small_red_candle,distractor,3,4,NA,NA,small_red_candle,distractor,5,5,NA,NA
8883-2,1455308629147,10,colorSizeTrial,color41,big_red_flower,target,4,2,NA,NA,small_purple_flower,distractor,1,4,NA,NA,big_purple_flower,distractor,5,3,NA,NA,small_purple_flower,distractor,3,5,NA,NA,small_purple_flower,distractor,2,1,NA,NA
8883-2,1455308635610,11,subSuperTrial,basic23,daisy,target,2,3,flower,plant,pretzels,distractor,4,4,NA,snack,rosemary,distractor,3,2,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308642449,12,subSuperTrial,basic23,coffeeTable,target,4,2,table,furniture,wardrobe,distractor,3,3,NA,furniture,lion,distractor,2,4,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308648516,13,subSuperTrial,basic33,polarBear,target,4,3,bear,animal,socks,distractor,3,4,NA,clothing,lamp,distractor,2,2,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308666609,14,subSuperTrial,basic22,bedsideTable,target,4,4,table,furniture,bed,distractor,3,2,NA,furniture,lamp,distractor,2,3,NA,furniture,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308672545,15,colorSizeTrial,color22,small_red_bike,target,3,3,NA,NA,small_purple_bike,distractor,2,4,NA,NA,small_purple_bike,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308678795,16,subSuperTrial,basic12,tulip,target,3,3,flower,plant,lily,distractor,4,2,flower,plant,pottedPlant,distractor,2,4,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308688795,17,colorSizeTrial,color33,big_white_teacup,target,2,2,NA,NA,big_pink_teacup,distractor,1,4,NA,NA,big_pink_teacup,distractor,3,1,NA,NA,big_pink_teacup,distractor,4,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308694523,18,subSuperTrial,basic22,sportsCar,target,4,4,car,vehicle,train,distractor,2,3,NA,vehicle,firetruck,distractor,3,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308701073,19,colorSizeTrial,color31,small_white_phone,target,4,1,NA,NA,big_pink_phone,distractor,2,3,NA,NA,big_pink_phone,distractor,1,4,NA,NA,small_pink_phone,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308709953,20,colorSizeTrial,size44,small_yellow_balloon,target,1,3,NA,NA,big_yellow_balloon,distractor,3,1,NA,NA,big_yellow_balloon,distractor,4,2,NA,NA,big_yellow_balloon,distractor,2,5,NA,NA,big_yellow_balloon,distractor,5,4,NA,NA
8883-2,1455308721425,21,colorSizeTrial,size43,big_red_stapler,target,3,4,NA,NA,small_red_stapler,distractor,5,5,NA,NA,small_purple_stapler,distractor,4,3,NA,NA,small_red_stapler,distractor,1,2,NA,NA,small_red_stapler,distractor,2,1,NA,NA
8883-2,1455308738154,22,colorSizeTrial,color21,big_blue_golfball,target,2,4,NA,NA,small_pink_golfball,distractor,4,3,NA,NA,big_pink_golfball,distractor,3,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
8883-2,1455308748826,23,colorSizeTrial,size41,small_blue_toothbrush,target,1,4,NA,NA,big_blue_toothbrush,distractor,2,1,NA,NA,big_red_toothbrush,distractor,5,2,NA,NA,big_red_toothbrush,distractor,4,3,NA,NA,big_red_toothbrush,distractor,3,5,NA,NA
