gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
9014-2,1479926014234,1,banana,informative,banana_blue,target,2,2,avocado_green,distractor,3,3,banana_yellow,distractor,4,4
9014-2,1479926024294,2,tomato,informative-cc,tomato_pink,target,4,2,tomato_red,distractor,2,3,distractor_tomato_pink,distractor,3,4
9014-2,1479926030582,3,apple,overinformative,apple_red,target,2,4,pear_orange,distractor,4,3,avocado_black,distractor,3,2
9014-2,1479926035718,4,pear,overinformative,pear_yellow,target,3,4,pepper_orange,distractor,4,2,apple_red,distractor,2,3
9014-2,1479926042678,5,banana,informative-cc,banana_blue,target,4,2,distractor_banana_blue,distractor,3,3,banana_yellow,distractor,2,4
9014-2,1479926050405,6,carrot,overinformative,carrot_pink,target,3,4,tomato_red,distractor,2,2,pepper_orange,distractor,4,3
9014-2,1479926058429,7,carrot,overinformative-cc,carrot_brown,target,2,4,apple_red,distractor,3,2,distractor_carrot_brown,distractor,4,3
9014-2,1479926066605,8,pear,informative-cc,pear_orange,target,2,2,pear_green,distractor,3,4,distractor_pear_orange,distractor,4,3
9014-2,1479926073861,9,pear,informative,pear_orange,target,4,3,pepper_red,distractor,2,2,pear_green,distractor,3,4
9014-2,1479926082668,10,pear,informative,pear_green,target,4,3,pepper_black,distractor,2,4,pear_orange,distractor,3,2
9014-2,1479926088437,11,apple,overinformative-cc,apple_blue,target,4,2,banana_yellow,distractor,2,4,distractor_apple_blue,distractor,3,3
9014-2,1479926095948,12,apple,informative-cc,apple_green,target,2,3,distractor_apple_green,distractor,4,2,apple_red,distractor,3,4
9014-2,1479926101396,13,tomato,overinformative-cc,tomato_green,target,3,2,pear_orange,distractor,2,4,distractor_tomato_green,distractor,4,3
9014-2,1479926107627,14,tomato,informative,tomato_pink,target,2,3,avocado_black,distractor,4,4,tomato_green,distractor,3,2
9014-2,1479926113595,15,tomato,overinformative,tomato_green,target,2,3,pepper_black,distractor,3,2,banana_yellow,distractor,4,4
9014-2,1479926121411,16,pear,informative,pear_yellow,target,3,3,apple_red,distractor,2,4,pear_green,distractor,4,2
9014-2,1479926126859,17,avocado,informative,banana_brown,distractor,3,2,avocado_red,target,4,4,avocado_black,distractor,2,3
9014-2,1479926134762,18,banana,informative,banana_brown,target,3,4,banana_yellow,distractor,2,2,carrot_orange,distractor,4,3
9014-2,1479926139922,19,carrot,overinformative,carrot_orange,target,4,3,tomato_green,distractor,2,2,pepper_red,distractor,3,4
9014-2,1479926146754,20,carrot,informative,carrot_pink,target,4,3,carrot_brown,distractor,3,4,pepper_orange,distractor,2,2
9014-2,1479926152889,21,avocado,overinformative-cc,avocado_black,target,3,2,carrot_orange,distractor,2,4,distractor_avocado_black,distractor,4,3
9014-2,1479926162306,22,banana,informative-cc,banana_yellow,target,4,2,distractor_banana_yellow,distractor,3,4,banana_blue,distractor,2,3
9014-2,1479926170345,23,carrot,informative-cc,carrot_brown,target,4,4,carrot_pink,distractor,2,2,distractor_carrot_brown,distractor,3,3
9014-2,1479926176009,24,banana,overinformative,banana_yellow,target,3,2,apple_green,distractor,2,3,carrot_brown,distractor,4,4
9014-2,1479926182345,25,carrot,overinformative-cc,carrot_orange,target,3,2,avocado_black,distractor,4,3,distractor_carrot_orange,distractor,2,4
9014-2,1479926188441,26,pepper,overinformative-cc,pepper_red,target,2,4,avocado_green,distractor,3,2,distractor_pepper_red,distractor,4,3
9014-2,1479926194088,27,pepper,overinformative,pepper_orange,target,4,3,pear_yellow,distractor,2,4,tomato_pink,distractor,3,2
9014-2,1479926198976,28,apple,overinformative-cc,apple_green,target,2,3,distractor_apple_green,distractor,4,2,pear_yellow,distractor,3,4
9014-2,1479926208184,29,pepper,informative,pepper_orange,target,4,4,pepper_black,distractor,3,3,banana_yellow,distractor,2,2
9014-2,1479926215234,30,apple,informative-cc,apple_red,target,2,3,apple_blue,distractor,3,4,distractor_apple_red,distractor,4,2
9014-2,1479926220215,31,banana,overinformative,banana_brown,target,3,2,pepper_orange,distractor,2,4,pear_orange,distractor,4,3
9014-2,1479926225823,32,tomato,overinformative-cc,tomato_red,target,4,4,distractor_tomato_red,distractor,3,2,banana_yellow,distractor,2,3
9014-2,1479926231487,33,pepper,overinformative,pepper_black,target,4,3,apple_red,distractor,3,4,banana_yellow,distractor,2,2
9014-2,1479926237830,34,tomato,informative,tomato_red,target,3,4,banana_blue,distractor,4,3,tomato_pink,distractor,2,2
9014-2,1479926246407,35,pepper,informative-cc,pepper_black,target,4,3,pepper_orange,distractor,3,2,distractor_pepper_black,distractor,2,4
9014-2,1479926251294,36,avocado,overinformative,banana_brown,distractor,3,2,avocado_red,target,4,3,pear_orange,distractor,2,4
9014-2,1479926256006,37,pear,overinformative-cc,pear_green,target,3,4,distractor_pear_green,distractor,4,2,apple_red,distractor,2,3
9014-2,1479926261701,38,avocado,overinformative-cc,avocado_green,target,4,2,carrot_brown,distractor,2,4,distractor_avocado_green,distractor,3,3
9014-2,1479926269053,39,avocado,informative,avocado_black,target,4,4,banana_brown,distractor,3,3,avocado_red,distractor,2,2
9014-2,1479926276469,40,pepper,informative-cc,pepper_red,target,2,3,distractor_pepper_red,distractor,3,4,pepper_orange,distractor,4,2
9014-2,1479926290924,41,avocado,informative,avocado_green,target,4,3,avocado_black,distractor,2,4,banana_blue,distractor,3,2
9014-2,1479926297348,42,apple,informative,apple_blue,target,4,3,apple_green,distractor,2,4,avocado_black,distractor,3,2
