gameid,time,roundNum,sender,contents
5381-c,1479922210196,1,speaker,"It is dark green, not light green"
5381-c,1479922234189,2,speaker,"it is orange with a green stem"
5381-c,1479922250114,3,speaker,"has green stem"
5381-c,1479922264557,4,speaker,"apple"
5381-c,1479922276514,5,speaker,"orange"
5381-c,1479922287038,6,speaker,"banana"
5381-c,1479922301907,7,speaker,"dark green no stem"
5381-c,1479922313086,8,speaker,"orange"
5381-c,1479922322173,9,speaker,"purple"
5381-c,1479922337533,10,speaker,"orange"
5381-c,1479922348097,11,speaker,"red"
5381-c,1479922356077,12,speaker,"yellow"
5381-c,1479922364118,13,speaker,"banana"
5381-c,1479922373192,14,speaker,"orange"
5381-c,1479922385052,15,speaker,"red pepper"
5381-c,1479922394909,16,speaker,"apple"
5381-c,1479922405032,17,speaker,"brown banana"
5381-c,1479922415776,18,speaker,"carrot"
5381-c,1479922425144,19,speaker,"banana"
5381-c,1479922432871,20,speaker,"pear"
5381-c,1479922441948,21,speaker,"purple"
5381-c,1479922452025,22,speaker,"brown carrot"
5381-c,1479922461228,23,speaker,"banana"
5381-c,1479922471819,24,speaker,"red"
5381-c,1479922486369,25,listener,"excellent communication"
5381-c,1479922488491,25,speaker,"black"
5381-c,1479922496723,26,speaker,"apple"
5381-c,1479922506432,27,speaker,"purple carrot"
5381-c,1479922517932,28,speaker,"orange pear"
5381-c,1479922526689,29,speaker,"green pear"
5381-c,1479922537119,30,speaker,"tomato"
5381-c,1479922546520,31,speaker,"blue apple"
5381-c,1479922556623,32,speaker,"green apple"
5381-c,1479922568955,33,speaker,"berry?"
5381-c,1479922593207,34,speaker,"yellow pear"
5381-c,1479922606006,35,speaker,"tomato"
5381-c,1479922617120,36,speaker,"tomato"
5381-c,1479922627509,37,speaker,"pepper"
5381-c,1479922636918,38,speaker,"blue banana"
5381-c,1479922653155,39,speaker,"black no stem"
5381-c,1479922682045,40,listener,"fyi, that thing you thought was a berry is an avacado"
5381-c,1479922689816,40,speaker,"red apple"
5381-c,1479922706726,41,speaker,"thank you! tomato"
5381-c,1479922724366,42,speaker,"black avacado"
