condition,t_color,t_item,d1_color,d1_item,d2_color,d2_item
informative,green,tomato,black,avocado,purple,tomato
overinformative-cc,brown,carrot,brown,banana,red,pepper
informative,orange,carrot,purple,carrot,red,tomato
overinformative,orange,pepper,green,avocado,purple,carrot
informative-cc,green,pear,green,apple,orange,pear
informative,black,avocado,red,avocado,blue,banana
overinformative-cc,blue,apple,blue,banana,yellow,banana
overinformative,yellow,pear,brown,banana,black,pepper
informative-cc,orange,pear,orange,carrot,green,pear
informative-cc,red,avocado,red,apple,green,avocado
informative,orange,pepper,yellow,banana,black,pepper
overinformative-cc,green,avocado,green,pepper,orange,pepper
informative,yellow,banana,green,avocado,blue,banana
overinformative-cc,black,pepper,black,avocado,green,pear
informative,purple,tomato,orange,carrot,green,tomato
informative-cc,red,tomato,purple,carrot,purple,tomato
overinformative,red,avocado,blue,banana,yellow,pear
overinformative,green,apple,yellow,banana,yellow,pear
overinformative,green,tomato,blue,apple,brown,carrot
overinformative-cc,red,tomato,green,avocado,purple,carrot
informative-cc,red,pepper,orange,pear,orange,pepper
informative-cc,red,apple,green,apple,red,tomato
informative,green,avocado,blue,apple,black,avocado
informative,brown,banana,red,apple,blue,banana
overinformative-cc,purple,carrot,yellow,banana,purple,tomato
informative,blue,apple,red,apple,green,avocado
overinformative,orange,carrot,black,avocado,red,avocado
informative,green,apple,blue,apple,purple,carrot
informative-cc,purple,tomato,green,pear,green,tomato
informative-cc,blue,banana,blue,apple,brown,banana
overinformative-cc,red,pepper,orange,pear,orange,pear
overinformative,black,avocado,green,apple,yellow,pear
informative,green,pear,brown,banana,yellow,pear
informative-cc,brown,banana,yellow,banana,brown,carrot
overinformative,purple,carrot,green,pear,orange,pepper
overinformative-cc,red,apple,orange,pepper,red,tomato
informative,blue,banana,red,apple,yellow,banana
overinformative-cc,yellow,banana,green,avocado,yellow,pear
overinformative,orange,pear,blue,apple,black,pepper
informative,yellow,pear,blue,banana,orange,pear
informative,brown,carrot,green,apple,orange,carrot
informative,black,pepper,purple,carrot,orange,pepper
overinformative,yellow,banana,red,avocado,green,pear
overinformative-cc,red,pepper,orange,pear,yellow,pear
informative-cc,orange,carrot,purple,carrot,orange,pepper
informative,blue,banana,yellow,banana,orange,pear
overinformative-cc,orange,pepper,green,avocado,purple,tomato
overinformative,purple,tomato,blue,apple,red,pepper
informative,purple,tomato,red,pepper,green,tomato
overinformative-cc,green,tomato,black,avocado,red,tomato
informative-cc,green,avocado,black,avocado,green,pepper
overinformative-cc,purple,carrot,black,pepper,purple,tomato
overinformative-cc,green,apple,green,tomato,purple,tomato
informative-cc,green,apple,blue,apple,green,tomato
overinformative,black,pepper,green,apple,brown,banana
overinformative,green,pear,red,apple,orange,carrot
informative,orange,pear,yellow,pear,green,tomato
overinformative-cc,blue,apple,red,avocado,blue,banana
informative-cc,blue,apple,green,apple,blue,banana
informative,green,tomato,brown,banana,red,tomato
informative-cc,orange,pear,orange,carrot,yellow,pear
overinformative-cc,green,pear,blue,apple,green,apple
informative,brown,banana,yellow,banana,orange,pear
overinformative-cc,yellow,pear,yellow,banana,purple,tomato
informative,yellow,banana,blue,banana,green,pear
overinformative-cc,brown,carrot,blue,apple,brown,banana
overinformative,blue,banana,orange,carrot,black,pepper
informative,orange,pepper,black,pepper,green,tomato
overinformative-cc,red,apple,purple,carrot,red,tomato
overinformative,black,avocado,yellow,banana,red,pepper
overinformative,orange,carrot,green,pear,red,pepper
overinformative-cc,red,tomato,blue,banana,purple,carrot
informative-cc,black,avocado,red,avocado,black,pepper
informative-cc,brown,banana,blue,banana,brown,carrot
overinformative,yellow,pear,purple,carrot,red,pepper
informative-cc,red,apple,blue,apple,red,tomato
overinformative-cc,black,pepper,black,avocado,green,tomato
overinformative-cc,red,avocado,red,apple,blue,banana
overinformative,brown,carrot,yellow,pear,orange,pepper
informative,orange,pepper,green,avocado,red,pepper
overinformative-cc,green,pear,green,apple,yellow,banana
overinformative-cc,green,apple,black,avocado,green,tomato
overinformative-cc,blue,banana,blue,apple,orange,carrot
overinformative-cc,orange,carrot,orange,pepper,red,pepper
overinformative,red,pepper,blue,apple,blue,banana
overinformative-cc,brown,banana,brown,carrot,purple,carrot
overinformative,red,apple,orange,pear,yellow,pear
informative,green,tomato,yellow,banana,purple,tomato
informative,green,apple,red,apple,black,pepper
overinformative,red,avocado,yellow,banana,yellow,pear
informative,red,pepper,green,avocado,black,pepper
informative-cc,orange,pepper,green,avocado,black,pepper
overinformative-cc,purple,carrot,green,tomato,purple,tomato
overinformative,brown,carrot,green,apple,orange,pear
overinformative,blue,apple,orange,pear,orange,pepper
informative-cc,yellow,pear,yellow,banana,green,pear
