condition,t_color,t_item,d1_color,d1_item,d2_color,d2_item,response,logModelProb,zeros
informative,green,tomato,black,avocado,purple,tomato,purple_tomato,-13.322919584483587,0
informative,green,tomato,black,avocado,purple,tomato,purple,-13.989801908521175,0
informative,green,tomato,black,avocado,purple,tomato,black_avocado,-15.08782204892396,0
informative,green,tomato,black,avocado,purple,tomato,avocado,-15.751997875307927,0
informative,green,tomato,black,avocado,purple,tomato,black,-14.256449419156466,0
informative,green,tomato,black,avocado,purple,tomato,green_tomato,-0.488034045062923,0
informative,green,tomato,black,avocado,purple,tomato,tomato,-4.009689166077678,0
informative,green,tomato,black,avocado,purple,tomato,green,-0.9996031903621407,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,red_pepper,-15.728770331897222,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,pepper,-16.386132225444832,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,red,-14.373846769307567,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,brown_banana,-15.647476447873212,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,banana,-15.62094153124624,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,brown_carrot,-0.7357209274324674,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,carrot,-0.6583954416515816,0
overinformative-cc,brown,carrot,brown,banana,red,pepper,brown,-5.757922125095828,0
informative,orange,carrot,purple,carrot,red,tomato,red_tomato,-14.940502907014508,0
informative,orange,carrot,purple,carrot,red,tomato,tomato,-16.089293776387237,0
informative,orange,carrot,purple,carrot,red,tomato,red,-13.71419854390589,0
informative,orange,carrot,purple,carrot,red,tomato,purple_carrot,-13.403668623634175,0
informative,orange,carrot,purple,carrot,red,tomato,purple,-14.231457700077133,0
informative,orange,carrot,purple,carrot,red,tomato,orange_carrot,-0.5247534428136333,0
informative,orange,carrot,purple,carrot,red,tomato,carrot,-3.5868240252539714,0
informative,orange,carrot,purple,carrot,red,tomato,orange,-0.965982833711834,0
overinformative,orange,pepper,green,avocado,purple,carrot,purple_carrot,-15.999489950400656,0
overinformative,orange,pepper,green,avocado,purple,carrot,carrot,-15.644464138633188,0
overinformative,orange,pepper,green,avocado,purple,carrot,purple,-14.979302815253144,0
overinformative,orange,pepper,green,avocado,purple,carrot,green_avocado,-16.119073565136482,0
overinformative,orange,pepper,green,avocado,purple,carrot,avocado,-17.0517643931341,0
overinformative,orange,pepper,green,avocado,purple,carrot,green,-14.368954499319942,0
overinformative,orange,pepper,green,avocado,purple,carrot,orange_pepper,-1.1062608439798112,0
overinformative,orange,pepper,green,avocado,purple,carrot,pepper,-0.6188632953218658,0
overinformative,orange,pepper,green,avocado,purple,carrot,orange,-2.0352417755980703,0
informative-cc,green,pear,green,apple,orange,pear,orange_pear,-12.489768684673654,0
informative-cc,green,pear,green,apple,orange,pear,orange,-13.108950202436207,0
informative-cc,green,pear,green,apple,orange,pear,green_apple,-13.98877133105053,0
informative-cc,green,pear,green,apple,orange,pear,apple,-15.03350251422196,0
informative-cc,green,pear,green,apple,orange,pear,green_pear,-0.03892647702825338,0
informative-cc,green,pear,green,apple,orange,pear,pear,-3.4791403618556274,0
informative-cc,green,pear,green,apple,orange,pear,green,-4.9147239614515925,0
informative,black,avocado,red,avocado,blue,banana,blue_banana,-15.081358429660732,0
informative,black,avocado,red,avocado,blue,banana,banana,-14.62030728278862,0
informative,black,avocado,red,avocado,blue,banana,blue,-14.031211510359299,0
informative,black,avocado,red,avocado,blue,banana,red_avocado,-13.116821015419639,0
informative,black,avocado,red,avocado,blue,banana,red,-12.956216161700343,0
informative,black,avocado,red,avocado,blue,banana,black_avocado,-0.6817488019978039,0
informative,black,avocado,red,avocado,blue,banana,avocado,-4.314312119903363,0
informative,black,avocado,red,avocado,blue,banana,black,-0.7321238969836248,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,yellow_banana,-16.055312382788145,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,yellow,-14.065063211804643,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,blue_banana,-15.872987944919343,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,banana,-20.60834532827274,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,blue_apple,-0.6015086226680957,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,apple,-0.8033325687330457,0
overinformative-cc,blue,apple,blue,banana,yellow,banana,blue,-5.4772914081634205,0
overinformative,yellow,pear,brown,banana,black,pepper,black_pepper,-16.079584148095552,0
overinformative,yellow,pear,brown,banana,black,pepper,pepper,-15.880153100058529,0
overinformative,yellow,pear,brown,banana,black,pepper,black,-15.103513241826356,0
overinformative,yellow,pear,brown,banana,black,pepper,brown_banana,-15.862483620270648,0
overinformative,yellow,pear,brown,banana,black,pepper,banana,-16.202801531646905,0
overinformative,yellow,pear,brown,banana,black,pepper,brown,-14.45403046755802,0
overinformative,yellow,pear,brown,banana,black,pepper,yellow_pear,-1.1137871488273294,0
overinformative,yellow,pear,brown,banana,black,pepper,pear,-0.542726877920657,0
overinformative,yellow,pear,brown,banana,black,pepper,yellow,-2.4021383035148514,0
informative-cc,orange,pear,orange,carrot,green,pear,green_pear,-12.558998785849584,0
